from,to,lines,size
ACPI:,ACPI:,6150,159545
ACPI:,THE REST,6150,159545
ANDROID AB,ANDROID AB,622,18785
ANDROID AB,THE REST,622,18785
ANDROID AVB,ANDROID AVB,9130,308408
ANDROID AVB,THE REST,9130,308408
APPLE M1 SOC SUPPORT,APPLE M1 SOC SUPPORT,2990,74532
APPLE M1 SOC SUPPORT,ARM,1544,37247
APPLE M1 SOC SUPPORT,NVMe,304,7649
APPLE M1 SOC SUPPORT,THE REST,2990,74532
APPLE M1 SOC SUPPORT,WATCHDOG,115,2236
ARC,ARC,7368,190628
ARC,THE REST,7368,190628
ARC HSDK CGU CLOCK,ARC HSDK CGU CLOCK,858,27806
ARC HSDK CGU CLOCK,CLOCK,780,25556
ARC HSDK CGU CLOCK,THE REST,858,27806
ARC HSDK CREG GPIO,ARC HSDK CREG GPIO,212,6082
ARC HSDK CREG GPIO,THE REST,212,6082
ARC HSDK RESET,ARC HSDK RESET,127,3078
ARC HSDK RESET,THE REST,127,3078
ARC SYNOPSYS DW MMC EXTENSIONS,ARC SYNOPSYS DW MMC EXTENSIONS,228,5407
ARC SYNOPSYS DW MMC EXTENSIONS,MMC,196,4429
ARC SYNOPSYS DW MMC EXTENSIONS,THE REST,228,5407
ARM,ARM,982760,27208536
ARM,ARM ALTERA SOCFPGA,11969,349149
ARM,ARM AMLOGIC SOC SUPPORT,2823,68113
ARM,ARM ASPEED,2063,56065
ARM,ARM BROADCOM BCM283X / BCM27XX,4819,104740
ARM,ARM BROADCOM BCMBCA,3696,72865
ARM,ARM BROADCOM BCMSTB,122,2599
ARM,ARM FREESCALE IMX,222607,7696973
ARM,ARM HISILICON,1301,36736
ARM,ARM HPE GXP ARCHITECTURE,215,3862
ARM,ARM IPQ40XX,50,929
ARM,ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,12236,345076
ARM,ARM MEDIATEK,1532,30682
ARM,ARM METHODE SUPPORT,368,6103
ARM,ARM MICROCHIP/ATMEL AT91,36921,1009312
ARM,ARM MSC SM2S IMX8MP SOM,898,20915
ARM,ARM NEXELL S5P4418,4175,125705
ARM,ARM OWL,275,6562
ARM,ARM PHYTIUM,33,741
ARM,ARM RENESAS RMOBILE/R-CAR,3243,81102
ARM,ARM ROCKCHIP,64126,1381255
ARM,ARM SAMSUNG,19409,520900
ARM,ARM SANCLOUD,333,8867
ARM,ARM SNAPDRAGON,1012,26885
ARM,ARM STI,113,3285
ARM,ARM STM STM32MP,34747,786308
ARM,ARM SUNXI,18434,559584
ARM,ARM TEGRA,52434,1394558
ARM,ARM TI,50990,1475439
ARM,ARM U8500,2044,51701
ARM,ARM UNIPHIER,15622,381338
ARM,ARM VERSAL,1728,34899
ARM,ARM VERSAL NET,773,15657
ARM,ARM VERSATILE EXPRESS DRIVERS,797,18990
ARM,ARM ZYNQ,28579,627430
ARM,ARM ZYNQMP,24028,542020
ARM,ARM ZYNQMP R5,70,1245
ARM,CAAM,29,277
ARM,EFI PAYLOAD,632,15948
ARM,MICROBLAZE,148,2477
ARM,OUT4-IMX6ULL-NANO BOARD,431,9053
ARM,SEMIHOSTING,37,633
ARM,TARGET_BCMNS3,2592,62553
ARM,THE REST,982760,27208536
ARM,TI SYSTEM SECURITY,760,21924
ARM,XEN,233,6701
ARM ALTERA SOCFPGA,ARM ALTERA SOCFPGA,12055,351097
ARM ALTERA SOCFPGA,THE REST,12055,351097
ARM AMLOGIC SOC SUPPORT,ARM AMLOGIC SOC SUPPORT,73850,1829160
ARM AMLOGIC SOC SUPPORT,CLOCK,3903,100077
ARM AMLOGIC SOC SUPPORT,DEVICETREE REBASING SUBTREE,40004,844996
ARM AMLOGIC SOC SUPPORT,I2C,313,7441
ARM AMLOGIC SOC SUPPORT,MMC,433,11023
ARM AMLOGIC SOC SUPPORT,NETWORK,588,15964
ARM AMLOGIC SOC SUPPORT,POWER,957,23783
ARM AMLOGIC SOC SUPPORT,RAW NAND,1247,31265
ARM AMLOGIC SOC SUPPORT,RNG,190,3641
ARM AMLOGIC SOC SUPPORT,SPI,696,18534
ARM AMLOGIC SOC SUPPORT,THE REST,73850,1829160
ARM AMLOGIC SOC SUPPORT,USB,989,24024
ARM AMLOGIC SOC SUPPORT,VIDEO,6188,187609
ARM AMLOGIC SOC SUPPORT,WATCHDOG,134,3078
ARM ASPEED,ARM ASPEED,54691,1109542
ARM ASPEED,ARM SNAPDRAGON,190,3515
ARM ASPEED,ASPEED FMC SPI DRIVER,1216,32925
ARM ASPEED,CLOCK,1803,45049
ARM ASPEED,DEVICETREE REBASING SUBTREE,43956,829055
ARM ASPEED,I2C,495,12272
ARM ASPEED,MMC,130,2647
ARM ASPEED,NETWORK,1047,28375
ARM ASPEED,SPI,1216,32925
ARM ASPEED,THE REST,54691,1109542
ARM ASPEED,WATCHDOG,130,2970
ARM BROADCOM BCM283X / BCM27XX,ARM BROADCOM BCM283X / BCM27XX,8038,185358
ARM BROADCOM BCM283X / BCM27XX,DRIVER MODEL,23,413
ARM BROADCOM BCM283X / BCM27XX,MMC,1079,28645
ARM BROADCOM BCM283X / BCM27XX,THE REST,8038,185358
ARM BROADCOM BCM283X / BCM27XX,VIDEO,82,1985
ARM BROADCOM BCMBCA,ARM BROADCOM BCMBCA,9885,204292
ARM BROADCOM BCMBCA,DEVICETREE REBASING SUBTREE,4557,92589
ARM BROADCOM BCMBCA,RAW NAND,252,6263
ARM BROADCOM BCMBCA,SPI,410,11060
ARM BROADCOM BCMBCA,THE REST,9885,204292
ARM BROADCOM BCMSTB,ARM BROADCOM BCMSTB,982,24511
ARM BROADCOM BCMSTB,MMC,161,4386
ARM BROADCOM BCMSTB,SPI,440,11313
ARM BROADCOM BCMSTB,THE REST,982,24511
ARM CORTINA ACCESS CAxxxx,ARM CORTINA ACCESS CAxxxx,5254,142286
ARM CORTINA ACCESS CAxxxx,I2C,434,9046
ARM CORTINA ACCESS CAxxxx,MIPS CORTINA ACCESS CAxxxx,3525,95083
ARM CORTINA ACCESS CAxxxx,MMC,174,4068
ARM CORTINA ACCESS CAxxxx,NETWORK,1630,49877
ARM CORTINA ACCESS CAxxxx,RAW NAND,1684,46034
ARM CORTINA ACCESS CAxxxx,SPI,577,15427
ARM CORTINA ACCESS CAxxxx,THE REST,5254,142286
ARM CORTINA ACCESS CAxxxx,WATCHDOG,139,2953
ARM FF-A,ARM FF-A,3315,89525
ARM FF-A,DRIVER MODEL,261,7148
ARM FF-A,SANDBOX,193,5713
ARM FF-A,THE REST,3315,89525
ARM FREESCALE IMX,ARM FREESCALE IMX,257088,8513341
ARM FREESCALE IMX,ARM MSC SM2S IMX8MP SOM,898,20915
ARM FREESCALE IMX,OUT4-IMX6ULL-NANO BOARD,431,9053
ARM FREESCALE IMX,THE REST,257088,8513341
ARM HISILICON,ARM HISILICON,1301,36736
ARM HISILICON,THE REST,1301,36736
ARM HPE GXP ARCHITECTURE,ARM HPE GXP ARCHITECTURE,830,17395
ARM HPE GXP ARCHITECTURE,SPI,304,7212
ARM HPE GXP ARCHITECTURE,THE REST,830,17395
ARM IPQ40XX,ARM IPQ40XX,1141,27405
ARM IPQ40XX,NETWORK,146,3553
ARM IPQ40XX,RNG,142,3080
ARM IPQ40XX,SPI,803,19843
ARM IPQ40XX,THE REST,1141,27405
ARM LAYERSCAPE SFP,ARM LAYERSCAPE SFP,349,8060
ARM LAYERSCAPE SFP,THE REST,349,8060
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,62025,1860011
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,CLOCK,802,18153
