filename,lines,sections
arch/arm/cpu/arm1136/mx31/Makefile,9,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm1136/mx31/devices.c,50,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm1136/mx31/generic.c,219,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm1136/mx31/relocate.S,22,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm1136/mx31/timer.c,45,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm1136/start.S,94,"""ARM"",""THE REST"""
arch/arm/cpu/arm1136/u-boot-spl.lds,50,"""ARM"",""THE REST"""
arch/arm/cpu/arm1176/Makefile,12,"""ARM"",""THE REST"""
arch/arm/cpu/arm1176/start.S,121,"""ARM"",""THE REST"""
arch/arm/cpu/arm720t/Makefile,7,"""ARM"",""THE REST"""
arch/arm/cpu/arm720t/cpu.c,21,"""ARM"",""THE REST"""
arch/arm/cpu/arm720t/interrupts.c,26,"""ARM"",""THE REST"""
arch/arm/cpu/arm720t/start.S,79,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/Makefile,16,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/cpu.c,49,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/imx/Makefile,8,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/imx/generic.c,76,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/imx/speed.c,86,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/imx/timer.c,100,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/start.S,98,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/Makefile,31,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/cache.c,91,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/cpu.c,68,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/mx27/Makefile,7,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mx27/generic.c,378,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mx27/relocate.S,50,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mx27/reset.c,41,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mx27/timer.c,166,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mxs/Makefile,81,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mxs/clock.c,436,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mxs/iomux.c,96,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mxs/mxs.c,295,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mxs/mxs_init.h,28,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mxs/mxsimage-signed.cfg,11,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mxs/mxsimage-spl.mx23.cfg,5,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mxs/mxsimage-spl.mx28.cfg,6,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mxs/mxsimage.mx23.cfg,7,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mxs/mxsimage.mx28.cfg,9,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mxs/spl_boot.c,162,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mxs/spl_lradc_init.c,79,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mxs/spl_mem_init.c,361,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mxs/spl_power_init.c,1291,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mxs/start.S,96,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mxs/timer.c,159,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mxs/u-boot-imx23.bd,18,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mxs/u-boot-imx28.bd,14,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/mxs/u-boot-spl.lds,68,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm926ejs/start.S,131,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/sunxi/Makefile,5,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/sunxi/config.mk,6,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/sunxi/fel_utils.S,33,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/sunxi/u-boot-spl.lds,48,"""ARM"",""THE REST"""
arch/arm/cpu/arm946es/Makefile,8,"""ARM"",""THE REST"""
arch/arm/cpu/arm946es/cpu.c,67,"""ARM"",""THE REST"""
arch/arm/cpu/arm946es/start.S,101,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/Kconfig,115,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/Makefile,46,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/arch_timer.c,64,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcm235xx/Makefile,10,"""ARM"",""THE REST"""
arch/arm/cpu/armv7/bcm235xx/clk-bcm235xx.c,568,"""ARM"",""THE REST"""
