from,to,lines,size
ARC,ARC,3234,71296
ARC,THE REST,3234,71296
ARM,ARM,222848,6603691
ARM,ARM ALTERA SOCFPGA,1840,50352
ARM,ARM ATMEL AT91,8718,254173
ARM,ARM FREESCALE IMX,34688,1467202
ARM,ARM MARVELL KIRKWOOD,1290,40780
ARM,ARM MARVELL PXA,4112,152703
ARM,ARM SAMSUNG,20882,547080
ARM,ARM STM SPEAR,2123,44170
ARM,ARM STM STV0991,701,19240
ARM,ARM SUNXI,7170,212422
ARM,ARM TEGRA,19921,545240
ARM,ARM TI,18234,512341
ARM,ARM UNIPHIER,5492,135727
ARM,ARM ZYNQ,1705,40807
ARM,ARM ZYNQMP,166,3508
ARM,THE REST,222848,6603691
ARM ALTERA SOCFPGA,ARM ALTERA SOCFPGA,3939,85804
ARM ALTERA SOCFPGA,THE REST,3939,85804
ARM ATMEL AT91,ARM ATMEL AT91,8718,254173
ARM ATMEL AT91,THE REST,8718,254173
ARM FREESCALE IMX,ARM FREESCALE IMX,34688,1467202
ARM FREESCALE IMX,THE REST,34688,1467202
ARM MARVELL KIRKWOOD,ARM MARVELL KIRKWOOD,1290,40780
ARM MARVELL KIRKWOOD,THE REST,1290,40780
ARM MARVELL PXA,ARM MARVELL PXA,4112,152703
ARM MARVELL PXA,THE REST,4112,152703
ARM SAMSUNG,ARM SAMSUNG,20882,547080
ARM SAMSUNG,THE REST,20882,547080
ARM STM SPEAR,ARM STM SPEAR,2123,44170
ARM STM SPEAR,THE REST,2123,44170
ARM STM STV0991,ARM STM STV0991,701,19240
ARM STM STV0991,THE REST,701,19240
ARM SUNXI,ARM SUNXI,7170,212422
ARM SUNXI,THE REST,7170,212422
ARM TEGRA,ARM TEGRA,19921,545240
ARM TEGRA,THE REST,19921,545240
ARM TI,ARM TI,18234,512341
ARM TI,THE REST,18234,512341
ARM UNIPHIER,ARM UNIPHIER,6937,170633
ARM UNIPHIER,DRIVER MODEL,18,378
ARM UNIPHIER,I2C,596,14023
ARM UNIPHIER,THE REST,6937,170633
ARM UNIPHIER,USB,163,3109
ARM ZYNQ,ARM ZYNQ,1705,40807
ARM ZYNQ,THE REST,1705,40807
ARM ZYNQMP,ARM ZYNQMP,166,3508
ARM ZYNQMP,THE REST,166,3508
AVR32,AVR32,4628,115341
AVR32,THE REST,4628,115341
BLACKFIN,BLACKFIN,68503,4448359
BLACKFIN,THE REST,68503,4448359
BUILDMAN,BUILDMAN,8578,328248
BUILDMAN,THE REST,8578,328248
CFI FLASH,CFI FLASH,2893,74049
CFI FLASH,THE REST,2893,74049
COLDFIRE,COLDFIRE,23641,699920
COLDFIRE,THE REST,23641,699920
DFU,DFU,27022,695419
DFU,THE REST,27022,695419
DFU,USB,25591,663855
DRIVER MODEL,DRIVER MODEL,5947,152231
DRIVER MODEL,THE REST,5947,152231
FLATTENED DEVICE TREE,FLATTENED DEVICE TREE,8692,244508
FLATTENED DEVICE TREE,THE REST,8692,244508
FREEBSD,FREEBSD,0,0
FREESCALE QORIQ,FREESCALE QORIQ,0,0
I2C,I2C,13081,333284
I2C,THE REST,13081,333284
MICROBLAZE,MICROBLAZE,2582,59574
MICROBLAZE,THE REST,2582,59574
MIPS,MIPS,11246,307639
MIPS,THE REST,11246,307639
MMC,MMC,13303,328412
MMC,THE REST,13303,328412
NAND FLASH,NAND FLASH,25748,690712
NAND FLASH,THE REST,25748,690712
NDS32,NDS32,4746,116185
NDS32,THE REST,4746,116185
NETWORK,NETWORK,67796,1878354
NETWORK,THE REST,67796,1878354
NIOS,NIOS,3060,72730
NIOS,THE REST,3060,72730
ONENAND,ONENAND,3816,99263
ONENAND,THE REST,3816,99263
OPENRISC,OPENRISC,2498,64156
OPENRISC,THE REST,2498,64156
PATMAN,PATMAN,3511,118934
PATMAN,THE REST,3511,118934
POWERPC,POWERPC,101179,2859082
POWERPC,POWERPC MPC5XXX,10747,263229
POWERPC,POWERPC MPC82XX,6810,176357
POWERPC,POWERPC MPC83XX,5522,140076
POWERPC,POWERPC MPC85XX,15571,418859
POWERPC,POWERPC MPC86XX,2776,59251
POWERPC,POWERPC MPC8XX,7682,193935
POWERPC,POWERPC PPC4XX,21147,585201
POWERPC,THE REST,101179,2859082
POWERPC MPC5XXX,POWERPC MPC5XXX,10747,263229
POWERPC MPC5XXX,THE REST,10747,263229
POWERPC MPC82XX,POWERPC MPC82XX,6810,176357
POWERPC MPC82XX,THE REST,6810,176357
POWERPC MPC83XX,POWERPC MPC83XX,5522,140076
POWERPC MPC83XX,THE REST,5522,140076
POWERPC MPC85XX,POWERPC MPC85XX,15571,418859
POWERPC MPC85XX,THE REST,15571,418859
POWERPC MPC86XX,POWERPC MPC86XX,2776,59251
POWERPC MPC86XX,THE REST,2776,59251
POWERPC MPC8XX,POWERPC MPC8XX,7682,193935
POWERPC MPC8XX,THE REST,7682,193935
POWERPC PPC4XX,POWERPC PPC4XX,21147,585201
POWERPC PPC4XX,THE REST,21147,585201
SANDBOX,SANDBOX,3057,71068
SANDBOX,THE REST,3057,71068
SH,SH,9045,203567
SH,THE REST,9045,203567
SPARC,SPARC,9530,241124
SPARC,THE REST,9530,241124
SPI,SPI,17530,450053
SPI,THE REST,17530,450053
TESTING,TESTING,0,0
THE REST,THE REST,1765664,53034628
THE REST,UBI,15754,453842
THE REST,USB,68297,1818796
THE REST,VIDEO,26304,720978
THE REST,X86,32564,927576
TQ GROUP,TQ GROUP,0,0
UBI,UBI,15754,453842
USB,USB,68297,1818796
VIDEO,VIDEO,26304,720978
X86,X86,32564,927576
