filename,lines,sections
.checkpatch.conf,23,"""THE REST"""
.gitignore,85,"""THE REST"""
.mailmap,27,"""THE REST"""
Kbuild,88,"""THE REST"""
Kconfig,160,"""THE REST"""
Licenses/Exceptions,15,"""THE REST"""
Licenses/README,69,"""THE REST"""
Licenses/bsd-2-clause.txt,25,"""THE REST"""
Licenses/bsd-3-clause.txt,24,"""THE REST"""
Licenses/eCos-2.0.txt,43,"""THE REST"""
Licenses/gpl-2.0.txt,339,"""THE REST"""
Licenses/ibm-pibs.txt,17,"""THE REST"""
Licenses/isc.txt,17,"""THE REST"""
Licenses/lgpl-2.0.txt,481,"""THE REST"""
Licenses/lgpl-2.1.txt,502,"""THE REST"""
MAINTAINERS,431,"""THE REST"""
MAKEALL,853,"""THE REST"""
Makefile,1496,"""THE REST"""
README,6696,"""THE REST"""
api/Makefile,9,"""THE REST"""
api/README,55,"""THE REST"""
api/api.c,691,"""THE REST"""
api/api_display.c,58,"""THE REST"""
api/api_net.c,117,"""THE REST"""
api/api_platform-arm.c,37,"""THE REST"""
api/api_platform-powerpc.c,54,"""THE REST"""
api/api_private.h,35,"""THE REST"""
api/api_storage.c,373,"""THE REST"""
arch/.gitignore,1,"""THE REST"""
arch/Kconfig,131,"""THE REST"""
arch/arc/Kconfig,28,"""ARC"",""THE REST"""
arch/arc/Makefile,23,"""ARC"",""THE REST"""
arch/arc/config.mk,33,"""ARC"",""THE REST"""
arch/arc/cpu/arc700/Makefile,13,"""ARC"",""THE REST"""
arch/arc/cpu/arc700/cache.c,138,"""ARC"",""THE REST"""
arch/arc/cpu/arc700/config.mk,7,"""ARC"",""THE REST"""
arch/arc/cpu/arc700/cpu.c,47,"""ARC"",""THE REST"""
arch/arc/cpu/arc700/interrupts.c,142,"""ARC"",""THE REST"""
arch/arc/cpu/arc700/reset.c,19,"""ARC"",""THE REST"""
arch/arc/cpu/arc700/start.S,241,"""ARC"",""THE REST"""
arch/arc/cpu/arc700/timer.c,24,"""ARC"",""THE REST"""
arch/arc/cpu/arc700/u-boot.lds,72,"""ARC"",""THE REST"""
arch/arc/include/asm/arcregs.h,55,"""ARC"",""THE REST"""
arch/arc/include/asm/bitops.h,19,"""ARC"",""THE REST"""
arch/arc/include/asm/byteorder.h,23,"""ARC"",""THE REST"""
arch/arc/include/asm/cache.h,23,"""ARC"",""THE REST"""
arch/arc/include/asm/config.h,15,"""ARC"",""THE REST"""
arch/arc/include/asm/errno.h,1,"""ARC"",""THE REST"""
arch/arc/include/asm/global_data.h,19,"""ARC"",""THE REST"""
arch/arc/include/asm/io.h,218,"""ARC"",""THE REST"""
arch/arc/include/asm/posix_types.h,43,"""ARC"",""THE REST"""
arch/arc/include/asm/ptrace.h,50,"""ARC"",""THE REST"""
arch/arc/include/asm/sections.h,14,"""ARC"",""THE REST"""
arch/arc/include/asm/string.h,27,"""ARC"",""THE REST"""
arch/arc/include/asm/types.h,55,"""ARC"",""THE REST"""
arch/arc/include/asm/u-boot-arc.h,12,"""ARC"",""THE REST"""
arch/arc/include/asm/u-boot.h,15,"""ARC"",""THE REST"""
arch/arc/include/asm/unaligned.h,1,"""ARC"",""THE REST"""
arch/arc/lib/Makefile,16,"""ARC"",""THE REST"""
arch/arc/lib/bootm.c,106,"""ARC"",""THE REST"""
arch/arc/lib/memcmp.S,121,"""ARC"",""THE REST"""
arch/arc/lib/memcpy-700.S,63,"""ARC"",""THE REST"""
arch/arc/lib/memset.S,62,"""ARC"",""THE REST"""
arch/arc/lib/relocate.c,76,"""ARC"",""THE REST"""
arch/arc/lib/sections.c,21,"""ARC"",""THE REST"""
arch/arc/lib/strchr-700.S,141,"""ARC"",""THE REST"""
arch/arc/lib/strcmp.S,97,"""ARC"",""THE REST"""
arch/arc/lib/strcpy-700.S,67,"""ARC"",""THE REST"""
arch/arc/lib/strlen.S,80,"""ARC"",""THE REST"""
arch/arm/Kconfig,989,"""ARM"",""THE REST"""
arch/arm/Kconfig.debug,64,"""ARM"",""THE REST"""
arch/arm/Makefile,29,"""ARM"",""THE REST"""
arch/arm/config.mk,137,"""ARM"",""THE REST"""
arch/arm/cpu/Makefile,6,"""ARM"",""THE REST"""
arch/arm/cpu/arm1136/Makefile,12,"""ARM"",""THE REST"""
arch/arm/cpu/arm1136/config.mk,9,"""ARM"",""THE REST"""
arch/arm/cpu/arm1136/cpu.c,160,"""ARM"",""THE REST"""
arch/arm/cpu/arm1136/mx31/Makefile,10,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm1136/mx31/devices.c,51,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm1136/mx31/generic.c,219,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm1136/mx31/timer.c,47,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm1136/mx35/Makefile,12,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm1136/mx35/generic.c,547,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm1136/mx35/mx35_sdram.c,121,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm1136/mx35/timer.c,47,"""ARM"",""ARM FREESCALE IMX"",""THE REST"""
arch/arm/cpu/arm1136/start.S,94,"""ARM"",""THE REST"""
arch/arm/cpu/arm1136/u-boot-spl.lds,51,"""ARM"",""THE REST"""
arch/arm/cpu/arm1176/Makefile,15,"""ARM"",""THE REST"""
arch/arm/cpu/arm1176/bcm2835/Makefile,16,"""ARM"",""THE REST"""
arch/arm/cpu/arm1176/bcm2835/init.c,24,"""ARM"",""THE REST"""
arch/arm/cpu/arm1176/bcm2835/lowlevel_init.S,19,"""ARM"",""THE REST"""
arch/arm/cpu/arm1176/bcm2835/mbox.c,153,"""ARM"",""THE REST"""
arch/arm/cpu/arm1176/bcm2835/reset.c,35,"""ARM"",""THE REST"""
arch/arm/cpu/arm1176/bcm2835/timer.c,58,"""ARM"",""THE REST"""
arch/arm/cpu/arm1176/config.mk,9,"""ARM"",""THE REST"""
arch/arm/cpu/arm1176/cpu.c,51,"""ARM"",""THE REST"""
arch/arm/cpu/arm1176/start.S,135,"""ARM"",""THE REST"""
arch/arm/cpu/arm1176/tnetv107x/Makefile,6,"""ARM"",""THE REST"""
arch/arm/cpu/arm1176/tnetv107x/aemif.c,78,"""ARM"",""THE REST"""
arch/arm/cpu/arm1176/tnetv107x/clock.c,432,"""ARM"",""THE REST"""
arch/arm/cpu/arm1176/tnetv107x/init.c,22,"""ARM"",""THE REST"""
arch/arm/cpu/arm1176/tnetv107x/lowlevel_init.S,10,"""ARM"",""THE REST"""
arch/arm/cpu/arm1176/tnetv107x/mux.c,319,"""ARM"",""THE REST"""
arch/arm/cpu/arm1176/tnetv107x/timer.c,93,"""ARM"",""THE REST"""
arch/arm/cpu/arm720t/Makefile,15,"""ARM"",""THE REST"""
arch/arm/cpu/arm720t/config.mk,9,"""ARM"",""THE REST"""
arch/arm/cpu/arm720t/cpu.c,22,"""ARM"",""THE REST"""
arch/arm/cpu/arm720t/interrupts.c,33,"""ARM"",""THE REST"""
arch/arm/cpu/arm720t/start.S,80,"""ARM"",""THE REST"""
arch/arm/cpu/arm720t/tegra-common/Makefile,11,"""ARM"",""ARM TEGRA"",""THE REST"""
arch/arm/cpu/arm720t/tegra-common/cpu.c,384,"""ARM"",""ARM TEGRA"",""THE REST"""
arch/arm/cpu/arm720t/tegra-common/cpu.h,74,"""ARM"",""ARM TEGRA"",""THE REST"""
arch/arm/cpu/arm720t/tegra-common/spl.c,49,"""ARM"",""ARM TEGRA"",""THE REST"""
arch/arm/cpu/arm720t/tegra114/Makefile,21,"""ARM"",""ARM TEGRA"",""THE REST"""
arch/arm/cpu/arm720t/tegra114/cpu.c,310,"""ARM"",""ARM TEGRA"",""THE REST"""
arch/arm/cpu/arm720t/tegra124/Makefile,8,"""ARM"",""ARM TEGRA"",""THE REST"""
arch/arm/cpu/arm720t/tegra124/cpu.c,265,"""ARM"",""ARM TEGRA"",""THE REST"""
arch/arm/cpu/arm720t/tegra20/Makefile,10,"""ARM"",""ARM TEGRA"",""THE REST"""
arch/arm/cpu/arm720t/tegra20/cpu.c,70,"""ARM"",""ARM TEGRA"",""THE REST"""
arch/arm/cpu/arm720t/tegra30/Makefile,20,"""ARM"",""ARM TEGRA"",""THE REST"""
arch/arm/cpu/arm720t/tegra30/cpu.c,183,"""ARM"",""ARM TEGRA"",""THE REST"""
arch/arm/cpu/arm920t/Makefile,18,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/a320/Makefile,9,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/a320/reset.S,10,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/a320/timer.c,118,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/at91/Makefile,13,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/at91/at91rm9200_devices.c,67,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/at91/clock.c,157,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/at91/cpu.c,26,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/at91/lowlevel_init.S,152,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/at91/reset.c,41,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/at91/timer.c,127,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/config.mk,8,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/cpu.c,48,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/ep93xx/Makefile,21,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/ep93xx/cpu.c,37,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/ep93xx/led.c,85,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/ep93xx/lowlevel_init.S,458,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/ep93xx/speed.c,96,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/ep93xx/timer.c,120,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/imx/Makefile,10,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/imx/generic.c,77,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/imx/speed.c,86,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/imx/timer.c,107,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/interrupts.c,27,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/ks8695/Makefile,9,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/ks8695/lowlevel_init.S,189,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/ks8695/timer.c,77,"""ARM"",""THE REST"""
arch/arm/cpu/arm920t/s3c24x0/Makefile,11,"""ARM"",""ARM SAMSUNG"",""THE REST"""
arch/arm/cpu/arm920t/s3c24x0/cpu_info.c,38,"""ARM"",""ARM SAMSUNG"",""THE REST"""
arch/arm/cpu/arm920t/s3c24x0/interrupts.c,26,"""ARM"",""ARM SAMSUNG"",""THE REST"""
arch/arm/cpu/arm920t/s3c24x0/speed.c,102,"""ARM"",""ARM SAMSUNG"",""THE REST"""
arch/arm/cpu/arm920t/s3c24x0/timer.c,160,"""ARM"",""ARM SAMSUNG"",""THE REST"""
arch/arm/cpu/arm920t/start.S,149,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/Makefile,30,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/armada100/Makefile,9,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/armada100/cpu.c,92,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/armada100/dram.c,116,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/armada100/timer.c,194,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/at91/Makefile,29,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/at91/at91cap9_devices.c,189,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/at91/at91sam9260_devices.c,245,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/at91/at91sam9261_devices.c,140,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/at91/at91sam9263_devices.c,218,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/at91/at91sam9m10g45_devices.c,184,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/at91/at91sam9n12_devices.c,161,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/at91/at91sam9rl_devices.c,103,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/at91/at91sam9x5_devices.c,244,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/at91/clock.c,249,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/at91/config.mk,2,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/at91/cpu.c,57,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/at91/eflash.c,254,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/at91/led.c,48,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/at91/lowlevel_init.S,246,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/at91/reset.c,29,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/at91/timer.c,120,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/cache.c,102,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/config.mk,8,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/cpu.c,51,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/Kconfig,78,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/Makefile,28,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/config.mk,8,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/cpu.c,223,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/da830_pinmux.c,139,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/da850_lowlevel.c,313,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/da850_pinmux.c,181,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/dm355.c,30,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/dm365.c,20,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/dm365_lowlevel.c,460,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/dm644x.c,81,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/dm646x.c,26,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/dp83848.c,128,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/et1011c.c,42,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/ksz8873.c,53,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/lowlevel_init.S,693,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/lxt972.c,113,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/misc.c,138,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/pinmux.c,90,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/psc.c,160,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/reset.c,32,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/spl.c,80,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/davinci/timer.c,128,"""ARM"",""ARM TI"",""THE REST"""
arch/arm/cpu/arm926ejs/kirkwood/Kconfig,84,"""ARM"",""ARM MARVELL KIRKWOOD"",""THE REST"""
arch/arm/cpu/arm926ejs/kirkwood/Makefile,11,"""ARM"",""ARM MARVELL KIRKWOOD"",""THE REST"""
arch/arm/cpu/arm926ejs/kirkwood/cache.c,19,"""ARM"",""ARM MARVELL KIRKWOOD"",""THE REST"""
arch/arm/cpu/arm926ejs/kirkwood/cpu.c,316,"""ARM"",""ARM MARVELL KIRKWOOD"",""THE REST"""
arch/arm/cpu/arm926ejs/kirkwood/mpp.c,90,"""ARM"",""ARM MARVELL KIRKWOOD"",""THE REST"""
arch/arm/cpu/arm926ejs/lpc32xx/Makefile,8,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/lpc32xx/clk.c,104,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/lpc32xx/cpu.c,57,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/lpc32xx/devices.c,39,"""ARM"",""THE REST"""
arch/arm/cpu/arm926ejs/lpc32xx/timer.c,82,"""ARM"",""THE REST"""
