from,to,lines,size
ARC,ARC,3354,73328
ARC,THE REST,3354,73328
ARM,ARM,272090,7948277
ARM,ARM ATMEL AT91,8734,254850
ARM,ARM FREESCALE IMX,36763,1592501
ARM,ARM MARVELL KIRKWOOD,1291,40791
ARM,ARM MARVELL PXA,4109,152647
ARM,ARM SAMSUNG,20959,549066
ARM,ARM STM SPEAR,2123,44170
ARM,ARM STM STV0991,734,20204
ARM,ARM SUNXI,8482,247715
ARM,ARM TEGRA,24604,678398
ARM,ARM TI,27464,750060
ARM,ARM UNIPHIER,6055,150023
ARM,ARM ZYNQMP,739,17459
ARM,THE REST,272090,7948277
ARM ALTERA SOCFPGA,ARM ALTERA SOCFPGA,3309,71894
ARM ALTERA SOCFPGA,THE REST,3309,71894
ARM ATMEL AT91,ARM ATMEL AT91,8734,254850
ARM ATMEL AT91,THE REST,8734,254850
ARM FREESCALE IMX,ARM FREESCALE IMX,36763,1592501
ARM FREESCALE IMX,THE REST,36763,1592501
ARM MARVELL KIRKWOOD,ARM MARVELL KIRKWOOD,1291,40791
ARM MARVELL KIRKWOOD,THE REST,1291,40791
ARM MARVELL PXA,ARM MARVELL PXA,4109,152647
ARM MARVELL PXA,THE REST,4109,152647
ARM SAMSUNG,ARM SAMSUNG,20959,549066
ARM SAMSUNG,THE REST,20959,549066
ARM STM SPEAR,ARM STM SPEAR,2123,44170
ARM STM SPEAR,THE REST,2123,44170
ARM STM STV0991,ARM STM STV0991,734,20204
ARM STM STV0991,THE REST,734,20204
ARM SUNXI,ARM SUNXI,8482,247715
ARM SUNXI,THE REST,8482,247715
ARM TEGRA,ARM TEGRA,24604,678398
ARM TEGRA,THE REST,24604,678398
ARM TI,ARM TI,27464,750060
ARM TI,THE REST,27464,750060
ARM UNIPHIER,ARM UNIPHIER,7566,187836
ARM UNIPHIER,DRIVER MODEL,18,378
ARM UNIPHIER,I2C,594,13933
ARM UNIPHIER,THE REST,7566,187836
ARM UNIPHIER,USB,160,2994
ARM ZYNQ,ARM ZYNQ,0,0
ARM ZYNQMP,ARM ZYNQMP,739,17459
ARM ZYNQMP,THE REST,739,17459
AVR32,AVR32,4346,109172
AVR32,THE REST,4346,109172
BLACKFIN,BLACKFIN,68500,4448268
BLACKFIN,THE REST,68500,4448268
BUILDMAN,BUILDMAN,8805,338203
BUILDMAN,THE REST,8805,338203
CFI FLASH,CFI FLASH,2893,74049
CFI FLASH,THE REST,2893,74049
COLDFIRE,COLDFIRE,23120,684799
COLDFIRE,THE REST,23120,684799
DFU,DFU,27626,710310
DFU,THE REST,27626,710310
DFU,USB,26195,678727
DRIVER MODEL,DRIVER MODEL,8577,224268
DRIVER MODEL,THE REST,8577,224268
FLATTENED DEVICE TREE,FLATTENED DEVICE TREE,9859,281923
FLATTENED DEVICE TREE,THE REST,9859,281923
FREEBSD,FREEBSD,0,0
FREESCALE QORIQ,FREESCALE QORIQ,0,0
I2C,I2C,14705,373616
I2C,THE REST,14705,373616
MICROBLAZE,MICROBLAZE,2580,59499
MICROBLAZE,THE REST,2580,59499
MIPS,MIPS,11245,307571
MIPS,THE REST,11245,307571
MMC,MMC,13651,336669
MMC,THE REST,13651,336669
NAND FLASH,NAND FLASH,26951,730147
NAND FLASH,THE REST,26951,730147
NDS32,NDS32,4746,116168
NDS32,THE REST,4746,116168
NETWORK,NETWORK,81601,2219710
NETWORK,THE REST,81601,2219710
NIOS,NIOS,3056,72663
NIOS,THE REST,3056,72663
ONENAND,ONENAND,3816,99263
ONENAND,THE REST,3816,99263
OPENRISC,OPENRISC,2499,64164
OPENRISC,THE REST,2499,64164
PATMAN,PATMAN,3569,120904
PATMAN,THE REST,3569,120904
POWERPC,POWERPC,100730,2845337
POWERPC,POWERPC MPC5XXX,10714,262504
POWERPC,POWERPC MPC82XX,6808,176408
POWERPC,POWERPC MPC83XX,5504,139671
POWERPC,POWERPC MPC85XX,15417,416017
POWERPC,POWERPC MPC86XX,2730,58260
POWERPC,POWERPC MPC8XX,7683,193971
POWERPC,POWERPC PPC4XX,21102,584164
POWERPC,THE REST,100730,2845337
POWERPC MPC5XXX,POWERPC MPC5XXX,10714,262504
POWERPC MPC5XXX,THE REST,10714,262504
POWERPC MPC82XX,POWERPC MPC82XX,6808,176408
POWERPC MPC82XX,THE REST,6808,176408
POWERPC MPC83XX,POWERPC MPC83XX,5504,139671
POWERPC MPC83XX,THE REST,5504,139671
POWERPC MPC85XX,POWERPC MPC85XX,15417,416017
POWERPC MPC85XX,THE REST,15417,416017
POWERPC MPC86XX,POWERPC MPC86XX,2730,58260
POWERPC MPC86XX,THE REST,2730,58260
POWERPC MPC8XX,POWERPC MPC8XX,7683,193971
POWERPC MPC8XX,THE REST,7683,193971
POWERPC PPC4XX,POWERPC PPC4XX,21102,584164
POWERPC PPC4XX,THE REST,21102,584164
SANDBOX,SANDBOX,4347,100389
SANDBOX,THE REST,4347,100389
SH,SH,9040,203470
SH,THE REST,9040,203470
SPARC,SPARC,9531,241132
SPARC,THE REST,9531,241132
SPI,SPI,18711,482343
SPI,THE REST,18711,482343
THE REST,THE REST,1982656,60050802
THE REST,UBI,15754,453842
THE REST,USB,79688,2111182
THE REST,VIDEO,31915,887463
THE REST,X86,42193,1239130
TQ GROUP,TQ GROUP,0,0
UBI,UBI,15754,453842
USB,USB,79688,2111182
VIDEO,VIDEO,31915,887463
X86,X86,42193,1239130
