from,to,lines,size
ARM FREESCALE IMX,ARM MSC SM2S IMX8MP SOM,885,20795
ARM FREESCALE IMX,OUT4-IMX6ULL-NANO BOARD,431,9053
ARM FREESCALE IMX,THE REST,270508,8823815
ARM HISILICON,ARM HISILICON,1301,36736
ARM HISILICON,THE REST,1301,36736
ARM HPE GXP ARCHITECTURE,ARM HPE GXP ARCHITECTURE,829,17382
ARM HPE GXP ARCHITECTURE,SPI,304,7212
ARM HPE GXP ARCHITECTURE,THE REST,829,17382
ARM IPQ40XX,ARM IPQ40XX,1652,41752
ARM IPQ40XX,NETWORK,146,3553
ARM IPQ40XX,RNG,143,3100
ARM IPQ40XX,SPI,803,19843
ARM IPQ40XX,THE REST,1652,41752
ARM LAYERSCAPE SFP,ARM LAYERSCAPE SFP,350,8078
ARM LAYERSCAPE SFP,THE REST,350,8078
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,61899,1856959
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,CLOCK,798,18019
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,I2C,961,28900
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,MICROBLAZE,352,9711
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,MMC,583,15166
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,SPI,691,16940
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,THE REST,61899,1856959
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K,WATCHDOG,381,8711
ARM MARVELL PCIE CONTROLLER DRIVERS,ARM MARVELL PCIE CONTROLLER DRIVERS,1844,57218
ARM MARVELL PCIE CONTROLLER DRIVERS,THE REST,1844,57218
ARM MARVELL SERIAL DRIVERS,ARM MARVELL SERIAL DRIVERS,361,8769
ARM MARVELL SERIAL DRIVERS,THE REST,361,8769
ARM MEDIATEK,ARM MEDIATEK,37243,1114967
ARM MEDIATEK,CLOCK,9886,305593
ARM MEDIATEK,I2C,863,22158
ARM MEDIATEK,MIPS,413,5473
ARM MEDIATEK,MMC,1882,47697
ARM MEDIATEK,NETWORK,2700,72039
ARM MEDIATEK,POWER,409,9497
ARM MEDIATEK,SPI,1028,25976
ARM MEDIATEK,THE REST,37243,1114967
ARM MEDIATEK,USB,4930,125161
ARM MEDIATEK,USB xHCI,371,8934
ARM MEDIATEK,WATCHDOG,160,3889
ARM METHODE SUPPORT,ARM METHODE SUPPORT,512,9840
ARM METHODE SUPPORT,THE REST,512,9840
ARM MICROCHIP/ATMEL AT91,ARM MICROCHIP/ATMEL AT91,41662,1126645
ARM MICROCHIP/ATMEL AT91,THE REST,41662,1126645
ARM MSC SM2S IMX8MP SOM,ARM MSC SM2S IMX8MP SOM,3245,71493
ARM MSC SM2S IMX8MP SOM,THE REST,3245,71493
ARM NEXELL S5P4418,ARM NEXELL S5P4418,17315,499976
ARM NEXELL S5P4418,I2C,627,14556
ARM NEXELL S5P4418,THE REST,17315,499976
ARM NEXELL S5P4418,VIDEO,9574,298078
ARM OWL,ARM OWL,953,23881
ARM OWL,CLOCK,341,8114
ARM OWL,THE REST,953,23881
ARM PHYTIUM,ARM PHYTIUM,230,6088
ARM PHYTIUM,THE REST,230,6088
