from,to,lines,size
ARC,ARC,3860,85247
ARC,THE REST,3860,85247
ARC HSDK CGU CLOCK,ARC HSDK CGU CLOCK,798,22558
ARC HSDK CGU CLOCK,THE REST,798,22558
ARC HSDK CREG GPIO,ARC HSDK CREG GPIO,110,2830
ARC HSDK CREG GPIO,THE REST,110,2830
ARM,ARM,529626,15537219
ARM,ARM ALTERA SOCFPGA,7645,225508
ARM,ARM ATMEL AT91,10073,296689
ARM,ARM BROADCOM BCM283X,1336,32439
ARM,ARM FREESCALE IMX,64288,2796038
ARM,ARM HISILICON,192,5765
ARM,ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X,10607,302710
ARM,ARM MARVELL PXA,4138,153591
ARM,ARM RENESAS RMOBILE/R-CAR,20731,709736
ARM,ARM ROCKCHIP,14487,327896
ARM,ARM SAMSUNG,19142,513974
ARM,ARM SNAPDRAGON,529,12637
ARM,ARM STI,111,3219
ARM,ARM STM SPEAR,2406,49293
ARM,ARM STM STV0991,734,20962
ARM,ARM SUNXI,14157,428033
ARM,ARM TEGRA,26439,731563
ARM,ARM TI,16105,430169
ARM,ARM UNIPHIER,13262,317992
ARM,ARM ZYNQMP,1319,29380
ARM,THE REST,529626,15537219
ARM,TI SYSTEM SECURITY,626,18021
ARM ALTERA SOCFPGA,ARM ALTERA SOCFPGA,7645,225508
ARM ALTERA SOCFPGA,THE REST,7645,225508
ARM ATMEL AT91,ARM ATMEL AT91,10073,296689
ARM ATMEL AT91,THE REST,10073,296689
ARM BROADCOM BCM283X,ARM BROADCOM BCM283X,3225,80314
ARM BROADCOM BCM283X,DRIVER MODEL,24,417
ARM BROADCOM BCM283X,MMC,1223,31570
ARM BROADCOM BCM283X,THE REST,3225,80314
ARM BROADCOM BCM283X,VIDEO,60,1495
ARM FREESCALE IMX,ARM FREESCALE IMX,77999,3147061
ARM FREESCALE IMX,THE REST,77999,3147061
ARM HISILICON,ARM HISILICON,192,5765
ARM HISILICON,THE REST,192,5765
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X,ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X,10607,302710
ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X,THE REST,10607,302710
ARM MARVELL PXA,ARM MARVELL PXA,4138,153591
ARM MARVELL PXA,THE REST,4138,153591
ARM RENESAS RMOBILE/R-CAR,ARM RENESAS RMOBILE/R-CAR,20731,709736
ARM RENESAS RMOBILE/R-CAR,THE REST,20731,709736
ARM ROCKCHIP,ARM ROCKCHIP,33464,829083
ARM ROCKCHIP,THE REST,33464,829083
ARM SAMSUNG,ARM SAMSUNG,19142,513974
ARM SAMSUNG,THE REST,19142,513974
ARM SNAPDRAGON,ARM SNAPDRAGON,529,12637
ARM SNAPDRAGON,THE REST,529,12637
ARM STI,ARM STI,111,3219
ARM STI,THE REST,111,3219
ARM STM SPEAR,ARM STM SPEAR,2406,49293
ARM STM SPEAR,THE REST,2406,49293
ARM STM STV0991,ARM STM STV0991,734,20962
ARM STM STV0991,THE REST,734,20962
ARM SUNXI,ARM SUNXI,16178,485127
ARM SUNXI,THE REST,16178,485127
ARM TEGRA,ARM TEGRA,26439,731563
ARM TEGRA,THE REST,26439,731563
ARM TI,ARM TI,16105,430169
ARM TI,THE REST,16105,430169
ARM UNIPHIER,ARM UNIPHIER,18720,480766
ARM UNIPHIER,I2C,550,13571
ARM UNIPHIER,MMC,867,25080
ARM UNIPHIER,THE REST,18720,480766
ARM UNIPHIER,USB,120,2814
ARM ZYNQ,ARM ZYNQ,0,0
ARM ZYNQMP,ARM ZYNQMP,1319,29380
ARM ZYNQMP,THE REST,1319,29380
BUILDMAN,BUILDMAN,9059,364628
BUILDMAN,THE REST,9059,364628
CFI FLASH,CFI FLASH,2997,76510
CFI FLASH,THE REST,2997,76510
COLDFIRE,COLDFIRE,23116,680967
COLDFIRE,THE REST,23116,680967
DFU,DFU,30245,778439
DFU,ROCKUSB,718,17863
DFU,THE REST,30245,778439
DFU,USB,28641,742979
DRIVER MODEL,DRIVER MODEL,16347,446742
DRIVER MODEL,THE REST,16347,446742
EFI PAYLOAD,EFI PAYLOAD,16676,442469
EFI PAYLOAD,THE REST,16676,442469
FLATTENED DEVICE TREE,FLATTENED DEVICE TREE,7527,208794
FLATTENED DEVICE TREE,THE REST,7527,208794
FREEBSD,FREEBSD,0,0
FREESCALE QORIQ,FREESCALE QORIQ,0,0
I2C,I2C,18296,458984
I2C,THE REST,18296,458984
LOGGING,LOGGING,789,18326
LOGGING,THE REST,789,18326
MICROBLAZE,MICROBLAZE,2591,59122
MICROBLAZE,THE REST,2591,59122
MIPS,MIPS,20385,521578
MIPS,THE REST,20385,521578
MMC,MMC,22554,558947
MMC,THE REST,22554,558947
NAND FLASH,NAND FLASH,31790,861294
NAND FLASH,THE REST,31790,861294
NDS32,NDS32,4422,106931
NDS32,THE REST,4422,106931
NETWORK,NETWORK,100346,2695312
NETWORK,THE REST,100346,2695312
NIOS,NIOS,3387,80962
NIOS,THE REST,3387,80962
ONENAND,ONENAND,3902,101318
ONENAND,THE REST,3902,101318
PATMAN,PATMAN,4461,147924
PATMAN,THE REST,4461,147924
POWER,POWER,14309,329459
POWER,THE REST,14309,329459
POWERPC,POWERPC,45002,1261362
POWERPC,POWERPC MPC83XX,5507,139954
POWERPC,POWERPC MPC85XX,16738,442683
POWERPC,POWERPC MPC86XX,2756,58908
POWERPC,POWERPC MPC8XX,2209,52700
POWERPC,THE REST,45002,1261362
POWERPC MPC83XX,POWERPC MPC83XX,5507,139954
POWERPC MPC83XX,THE REST,5507,139954
POWERPC MPC85XX,POWERPC MPC85XX,16738,442683
POWERPC MPC85XX,THE REST,16738,442683
POWERPC MPC86XX,POWERPC MPC86XX,2756,58908
POWERPC MPC86XX,THE REST,2756,58908
POWERPC MPC8XX,POWERPC MPC8XX,2209,52700
POWERPC MPC8XX,THE REST,2209,52700
POWERPC PPC4XX,POWERPC PPC4XX,0,0
RISC-V,RISC-V,2777,64815
RISC-V,THE REST,2777,64815
ROCKUSB,ROCKUSB,843,20904
ROCKUSB,THE REST,843,20904
ROCKUSB,USB,718,17863
SANDBOX,SANDBOX,5292,122197
SANDBOX,THE REST,5292,122197
SH,SH,8564,193319
SH,THE REST,8564,193319
SPI,SPI,23972,620797
SPI,THE REST,23972,620797
SPMI,SPMI,476,11833
SPMI,THE REST,476,11833
THE REST,THE REST,2452574,71874576
THE REST,TI SYSTEM SECURITY,1119,31617
THE REST,UBI,16361,472268
THE REST,USB,88082,2340940
THE REST,USB xHCI,6975,209922
THE REST,VIDEO,47330,1590009
THE REST,X86,77337,2529552
THE REST,XTENSA,5599,173386
TI SYSTEM SECURITY,TI SYSTEM SECURITY,1119,31617
TQ GROUP,TQ GROUP,0,0
UBI,UBI,16361,472268
USB,USB,88082,2340940
USB,USB xHCI,6975,209922
USB xHCI,USB xHCI,6975,209922
VIDEO,VIDEO,47330,1590009
X86,X86,77337,2529552
XTENSA,XTENSA,5599,173386
