from,to,lines,size
ACPI,ACPI,21554,668861
ACPI,POWER MANAGEMENT,3979,116297
ACPI,THE REST,21554,668861
ACPI,TOOLSTACK,3611,124012
ACPI,X86 ARCHITECTURE,4584,131453
AMD IOMMU,AMD IOMMU,7911,240499
AMD IOMMU,THE REST,7911,240499
AMD SVM,AMD SVM,6571,195449
AMD SVM,THE REST,6571,195449
AMD SVM,X86 ARCHITECTURE,6571,195449
ARGO,ARGO,2662,79552
ARGO,THE REST,2662,79552
ARINC653 SCHEDULER,ARINC653 SCHEDULER,827,25769
ARINC653 SCHEDULER,LIBS,87,2842
ARINC653 SCHEDULER,SCHEDULING,740,22927
ARINC653 SCHEDULER,THE REST,827,25769
ARINC653 SCHEDULER,TOOLSTACK,87,2842
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,82967,2426582
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,ARM SMMUv3,3465,91014
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,LIVEPATCH,1061,29462
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,TEE MEDIATORS,3165,97153
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,THE REST,82967,2426582
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,"VM EVENT, MEM ACCESS and MONITOR",794,22033
ARM SMMUv3,ARM SMMUv3,3465,91014
ARM SMMUv3,THE REST,3465,91014
CPU POOLS,CPU POOLS,1301,33091
CPU POOLS,SCHEDULING,1301,33091
CPU POOLS,THE REST,1301,33091
Change Log,Change Log,113,6109
Change Log,THE REST,113,6109
Continuous Integration (CI),Continuous Integration (CI),2843,66836
Continuous Integration (CI),THE REST,2843,66836
DEVICE TREE,DEVICE TREE,7050,215365
DEVICE TREE,THE REST,7050,215365
EFI,EFI,7290,215071
EFI,THE REST,7290,215071
EFI,X86 ARCHITECTURE,1603,50491
GDBSX DEBUGGER,GDBSX DEBUGGER,2820,75271
GDBSX DEBUGGER,THE REST,2820,75271
GDBSX DEBUGGER,TOOLSTACK,2636,69859
GDBSX DEBUGGER,X86 ARCHITECTURE,184,5412
GOLANG BINDINGS,GOLANG BINDINGS,8057,238336
GOLANG BINDINGS,THE REST,8057,238336
GOLANG BINDINGS,TOOLSTACK,8057,238336
HYPFS,HYPFS,1793,47754
HYPFS,LIBS,651,16619
HYPFS,THE REST,1793,47754
HYPFS,TOOLSTACK,849,20690
I/O EMULATION (IOREQ),I/O EMULATION (IOREQ),1740,43628
I/O EMULATION (IOREQ),THE REST,1740,43628
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),727,23447
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),THE REST,727,23447
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),X86 ARCHITECTURE,727,23447
INTEL(R) VT FOR DIRECTED I/O (VT-D),INTEL(R) VT FOR DIRECTED I/O (VT-D),7752,239295
INTEL(R) VT FOR DIRECTED I/O (VT-D),THE REST,7752,239295
INTEL(R) VT FOR X86 (VT-X),INTEL(R) VT FOR X86 (VT-X),14958,468496
INTEL(R) VT FOR X86 (VT-X),THE REST,14958,468496
INTEL(R) VT FOR X86 (VT-X),X86 ARCHITECTURE,14958,468496
INTEL(R) VT FOR X86 (VT-X),X86 MEMORY MANAGEMENT,1564,47197
IOMMU VENDOR INDEPENDENT CODE,IOMMU VENDOR INDEPENDENT CODE,4670,132545
IOMMU VENDOR INDEPENDENT CODE,THE REST,4670,132545
KCONFIG,KCONFIG,21411,524388
KCONFIG,THE REST,21411,524388
KDD DEBUGGER,KDD DEBUGGER,2560,80464
KDD DEBUGGER,THE REST,2560,80464
KDD DEBUGGER,TOOLSTACK,2560,80464
KEXEC,KEXEC,422,11193
KEXEC,THE REST,422,11193
KEXEC,X86 ARCHITECTURE,422,11193
LIBS,LIBS,118870,3650919
LIBS,LIBXENLIGHT,71221,2252474
LIBS,REMUS,818,22134
LIBS,THE REST,118870,3650919
LIBS,TOOLSTACK,118870,3650919
LIBXENLIGHT,LIBXENLIGHT,89933,2860950
LIBXENLIGHT,REMUS,818,22134
LIBXENLIGHT,THE REST,89933,2860950
LIBXENLIGHT,TOOLSTACK,89933,2860950
LIVEPATCH,LIVEPATCH,7870,241725
LIVEPATCH,THE REST,7870,241725
LIVEPATCH,TOOLSTACK,638,16572
LIVEPATCH,X86 ARCHITECTURE,410,11306
MINI-OS,MINI-OS,10,327
MINI-OS,THE REST,10,327
OCAML TOOLS,OCAML TOOLS,13686,433478
OCAML TOOLS,THE REST,13686,433478
OCAML TOOLS,TOOLSTACK,13686,433478
OVMF UPSTREAM,OVMF UPSTREAM,0,0
POWER MANAGEMENT,POWER MANAGEMENT,5760,166977
POWER MANAGEMENT,THE REST,5760,166977
POWER MANAGEMENT,X86 ARCHITECTURE,3671,106002
PUBLIC I/O INTERFACES AND PV DRIVERS DESIGNS,PUBLIC I/O INTERFACES AND PV DRIVERS DESIGNS,8349,357906
PUBLIC I/O INTERFACES AND PV DRIVERS DESIGNS,THE REST,8349,357906
PYTHON BINDINGS,PYTHON BINDINGS,6194,189423
PYTHON BINDINGS,THE REST,6194,189423
PYTHON BINDINGS,TOOLSTACK,6194,189423
QEMU UPSTREAM,QEMU UPSTREAM,0,0
QEMU-DM,QEMU-DM,0,0
REMUS,REMUS,1154,32888
REMUS,THE REST,1154,32888
REMUS,TOOLSTACK,1134,31763
RISCV,RISCV,136,2949
RISCV,THE REST,136,2949
RTDS SCHEDULER,RTDS SCHEDULER,1582,46025
RTDS SCHEDULER,SCHEDULING,1582,46025
RTDS SCHEDULER,THE REST,1582,46025
SCHEDULING,SCHEDULING,15470,476263
SCHEDULING,THE REST,15470,476263
SEABIOS UPSTREAM,SEABIOS UPSTREAM,0,0
STUB DOMAINS,STUB DOMAINS,34362,1027666
STUB DOMAINS,THE REST,34362,1027666
STUB DOMAINS,TOOLSTACK,5826,164528
STUB DOMAINS,VTPM,12770,386697
TEE MEDIATORS,TEE MEDIATORS,3165,97153
TEE MEDIATORS,THE REST,3165,97153
THE REST,THE REST,930048,28179635
THE REST,TOOLSTACK,341652,10271077
