from,to,lines,size
ACPI,ACPI,21119,653681
ACPI,POWER MANAGEMENT,3780,109480
ACPI,THE REST,21119,653681
ACPI,TOOLSTACK,3583,122274
ACPI,X86 ARCHITECTURE,4355,123110
AMD IOMMU,AMD IOMMU,6292,195672
AMD IOMMU,THE REST,6292,195672
AMD SVM,AMD SVM,6058,179174
AMD SVM,THE REST,6058,179174
AMD SVM,X86 ARCHITECTURE,6058,179174
ARINC653 SCHEDULER,ARINC653 SCHEDULER,871,26975
ARINC653 SCHEDULER,SCHEDULING,784,24133
ARINC653 SCHEDULER,THE REST,871,26975
ARINC653 SCHEDULER,TOOLSTACK,87,2842
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,49939,1414896
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,LIVEPATCH,1023,28112
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,THE REST,49939,1414896
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,"VM EVENT, MEM ACCESS and MONITOR",246,6806
CPU POOLS,CPU POOLS,818,20854
CPU POOLS,THE REST,818,20854
DEVICE TREE,DEVICE TREE,6734,205150
DEVICE TREE,THE REST,6734,205150
EFI,EFI,6466,190527
EFI,THE REST,6466,190527
EFI,X86 ARCHITECTURE,1421,45009
EVENT CHANNELS (FIFO-BASED ABI),EVENT CHANNELS (FIFO-BASED ABI),697,17612
EVENT CHANNELS (FIFO-BASED ABI),THE REST,697,17612
GDBSX DEBUGGER,GDBSX DEBUGGER,2886,77393
GDBSX DEBUGGER,THE REST,2886,77393
GDBSX DEBUGGER,TOOLSTACK,2639,69921
GDBSX DEBUGGER,X86 ARCHITECTURE,247,7472
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),716,23009
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),THE REST,716,23009
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),X86 ARCHITECTURE,716,23009
INTEL(R) VT FOR DIRECTED I/O (VT-D),INTEL(R) VT FOR DIRECTED I/O (VT-D),7175,218443
INTEL(R) VT FOR DIRECTED I/O (VT-D),THE REST,7175,218443
INTEL(R) VT FOR X86 (VT-X),INTEL(R) VT FOR X86 (VT-X),13131,412991
INTEL(R) VT FOR X86 (VT-X),THE REST,13131,412991
INTEL(R) VT FOR X86 (VT-X),X86 ARCHITECTURE,13131,412991
INTEL(R) VT FOR X86 (VT-X),X86 MEMORY MANAGEMENT,1340,40315
IOMMU VENDOR INDEPENDENT CODE,IOMMU VENDOR INDEPENDENT CODE,3729,108392
IOMMU VENDOR INDEPENDENT CODE,THE REST,3729,108392
KCONFIG,KCONFIG,24783,629820
KCONFIG,THE REST,24783,629820
KDD DEBUGGER,KDD DEBUGGER,2216,68183
KDD DEBUGGER,THE REST,2216,68183
KDD DEBUGGER,TOOLSTACK,2216,68183
KEXEC,KEXEC,408,10853
KEXEC,THE REST,408,10853
KEXEC,X86 ARCHITECTURE,408,10853
LIVEPATCH,LIVEPATCH,5791,173357
LIVEPATCH,THE REST,5791,173357
LIVEPATCH,TOOLSTACK,467,11737
LIVEPATCH,X86 ARCHITECTURE,294,7449
MACHINE CHECK (MCA) & RAS,MACHINE CHECK (MCA) & RAS,5257,152008
MACHINE CHECK (MCA) & RAS,THE REST,5257,152008
MACHINE CHECK (MCA) & RAS,X86 ARCHITECTURE,5257,152008
MINI-OS,MINI-OS,10,327
MINI-OS,THE REST,10,327
OCAML TOOLS,OCAML TOOLS,12032,376605
OCAML TOOLS,THE REST,12032,376605
OCAML TOOLS,TOOLSTACK,12032,376605
OVMF UPSTREAM,OVMF UPSTREAM,0,0
POWER MANAGEMENT,POWER MANAGEMENT,5536,159355
POWER MANAGEMENT,THE REST,5536,159355
POWER MANAGEMENT,X86 ARCHITECTURE,3470,99132
QEMU UPSTREAM,QEMU UPSTREAM,0,0
QEMU-DM,QEMU-DM,0,0
REMUS,REMUS,3870,110104
REMUS,THE REST,3870,110104
REMUS,TOOLSTACK,3850,108980
RTDS SCHEDULER,RTDS SCHEDULER,1533,43727
RTDS SCHEDULER,SCHEDULING,1533,43727
RTDS SCHEDULER,THE REST,1533,43727
SCHEDULING,SCHEDULING,9469,286917
SCHEDULING,THE REST,9469,286917
SEABIOS UPSTREAM,SEABIOS UPSTREAM,0,0
STUB DOMAINS,STUB DOMAINS,34128,1026923
STUB DOMAINS,THE REST,34128,1026923
STUB DOMAINS,TOOLSTACK,5685,162010
STUB DOMAINS,VTPM,12506,382633
THE REST,THE REST,796470,23644389
THE REST,TOOLSTACK,329070,9635987
THE REST,TRANSCENDENT MEMORY (TMEM),4066,134746
THE REST,TRAVIS CI,88,3353
THE REST,UNMODIFIED LINUX PV DRIVERS,1775,46194
THE REST,"VM EVENT, MEM ACCESS and MONITOR",3585,103133
THE REST,VTPM,12861,396823
THE REST,X86 ARCHITECTURE,170608,5167537
THE REST,X86 I/O EMULATION,4578,127859
THE REST,X86 MEMORY MANAGEMENT,22413,721285
THE REST,X86 MEMORY PAGING,86,2083
THE REST,X86 MEMORY SHARING,4047,124675
THE REST,X86 SHADOW PAGETABLES,10435,362586
THE REST,X86 VIRIDIAN ENLIGHTENMENTS,1018,28624
THE REST,XENTRACE,15122,448743
THE REST,XSM/FLASK,16606,451926
TOOLSTACK,TOOLSTACK,329070,9635987
TOOLSTACK,"VM EVENT, MEM ACCESS and MONITOR",863,25135
TOOLSTACK,X86 ARCHITECTURE,8983,273431
TOOLSTACK,X86 MEMORY SHARING,2341,75152
TOOLSTACK,XENTRACE,14239,424070
TOOLSTACK,XSM/FLASK,1607,46028
TRANSCENDENT MEMORY (TMEM),TRANSCENDENT MEMORY (TMEM),4066,134746
TRAVIS CI,TRAVIS CI,88,3353
UNMODIFIED LINUX PV DRIVERS,UNMODIFIED LINUX PV DRIVERS,1775,46194
USB PV DRIVERS,USB PV DRIVERS,0,0
"VM EVENT, MEM ACCESS and MONITOR","VM EVENT, MEM ACCESS and MONITOR",3585,103133
"VM EVENT, MEM ACCESS and MONITOR",X86 ARCHITECTURE,875,24892
VTPM,VTPM,12861,396823
X86 ARCHITECTURE,X86 ARCHITECTURE,170608,5167537
X86 ARCHITECTURE,X86 I/O EMULATION,4440,122936
X86 ARCHITECTURE,X86 MEMORY MANAGEMENT,22413,721285
X86 ARCHITECTURE,X86 MEMORY PAGING,86,2083
X86 ARCHITECTURE,X86 MEMORY SHARING,1706,49523
X86 ARCHITECTURE,X86 SHADOW PAGETABLES,10435,362586
X86 ARCHITECTURE,X86 VIRIDIAN ENLIGHTENMENTS,1018,28624
X86 I/O EMULATION,X86 I/O EMULATION,4578,127859
X86 MEMORY MANAGEMENT,X86 MEMORY MANAGEMENT,22413,721285
X86 MEMORY MANAGEMENT,X86 MEMORY PAGING,86,2083
X86 MEMORY MANAGEMENT,X86 MEMORY SHARING,1706,49523
X86 MEMORY MANAGEMENT,X86 SHADOW PAGETABLES,10435,362586
X86 MEMORY PAGING,X86 MEMORY PAGING,86,2083
X86 MEMORY SHARING,X86 MEMORY SHARING,4047,124675
X86 SHADOW PAGETABLES,X86 SHADOW PAGETABLES,10435,362586
X86 VIRIDIAN ENLIGHTENMENTS,X86 VIRIDIAN ENLIGHTENMENTS,1018,28624
XENTRACE,XENTRACE,15122,448743
XSM/FLASK,XSM/FLASK,16606,451926
