from,to,lines,size
ACPI,ACPI,21554,668893
ACPI,POWER MANAGEMENT,3979,116329
ACPI,THE REST,21554,668893
ACPI,TOOLSTACK,3611,124012
ACPI,X86 ARCHITECTURE,4584,131485
AMD IOMMU,AMD IOMMU,7890,239668
AMD IOMMU,THE REST,7890,239668
AMD SVM,AMD SVM,6543,194259
AMD SVM,THE REST,6543,194259
AMD SVM,X86 ARCHITECTURE,6543,194259
ARGO,ARGO,2662,79552
ARGO,THE REST,2662,79552
ARINC653 SCHEDULER,ARINC653 SCHEDULER,827,25769
ARINC653 SCHEDULER,LIBS,87,2842
ARINC653 SCHEDULER,SCHEDULING,740,22927
ARINC653 SCHEDULER,THE REST,827,25769
ARINC653 SCHEDULER,TOOLSTACK,87,2842
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,82865,2423356
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,ARM SMMUv3,3465,91014
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,LIVEPATCH,1061,29462
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,TEE MEDIATORS,3165,97153
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,THE REST,82865,2423356
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,"VM EVENT, MEM ACCESS and MONITOR",794,22033
ARM SMMUv3,ARM SMMUv3,3465,91014
ARM SMMUv3,THE REST,3465,91014
CPU POOLS,CPU POOLS,1301,33091
CPU POOLS,SCHEDULING,1301,33091
CPU POOLS,THE REST,1301,33091
Change Log,Change Log,113,6109
Change Log,THE REST,113,6109
Continuous Integration (CI),Continuous Integration (CI),2843,66836
Continuous Integration (CI),THE REST,2843,66836
DEVICE TREE,DEVICE TREE,7050,215365
DEVICE TREE,THE REST,7050,215365
EFI,EFI,7290,215071
EFI,THE REST,7290,215071
EFI,X86 ARCHITECTURE,1603,50491
GDBSX DEBUGGER,GDBSX DEBUGGER,2820,75267
GDBSX DEBUGGER,THE REST,2820,75267
GDBSX DEBUGGER,TOOLSTACK,2636,69855
GDBSX DEBUGGER,X86 ARCHITECTURE,184,5412
GOLANG BINDINGS,GOLANG BINDINGS,8057,238336
GOLANG BINDINGS,THE REST,8057,238336
GOLANG BINDINGS,TOOLSTACK,8057,238336
HYPFS,HYPFS,1793,47754
HYPFS,LIBS,651,16619
HYPFS,THE REST,1793,47754
HYPFS,TOOLSTACK,849,20690
I/O EMULATION (IOREQ),I/O EMULATION (IOREQ),1740,43628
I/O EMULATION (IOREQ),THE REST,1740,43628
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),727,23447
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),THE REST,727,23447
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),X86 ARCHITECTURE,727,23447
INTEL(R) VT FOR DIRECTED I/O (VT-D),INTEL(R) VT FOR DIRECTED I/O (VT-D),7752,239291
INTEL(R) VT FOR DIRECTED I/O (VT-D),THE REST,7752,239291
INTEL(R) VT FOR X86 (VT-X),INTEL(R) VT FOR X86 (VT-X),14767,461387
INTEL(R) VT FOR X86 (VT-X),THE REST,14767,461387
INTEL(R) VT FOR X86 (VT-X),X86 ARCHITECTURE,14767,461387
INTEL(R) VT FOR X86 (VT-X),X86 MEMORY MANAGEMENT,1564,47197
IOMMU VENDOR INDEPENDENT CODE,IOMMU VENDOR INDEPENDENT CODE,4639,131178
IOMMU VENDOR INDEPENDENT CODE,THE REST,4639,131178
KCONFIG,KCONFIG,21411,524388
KCONFIG,THE REST,21411,524388
KDD DEBUGGER,KDD DEBUGGER,2560,80464
KDD DEBUGGER,THE REST,2560,80464
KDD DEBUGGER,TOOLSTACK,2560,80464
KEXEC,KEXEC,422,11193
KEXEC,THE REST,422,11193
KEXEC,X86 ARCHITECTURE,422,11193
LIBS,LIBS,118393,3641638
LIBS,LIBXENLIGHT,70922,2247990
LIBS,REMUS,818,22134
LIBS,THE REST,118393,3641638
