from,to,lines,size
TOOLSTACK,X86 MEMORY SHARING,238,6650
TOOLSTACK,XENTRACE,14374,429624
TOOLSTACK,XSM/FLASK,1656,47866
"VM EVENT, MEM ACCESS and MONITOR","VM EVENT, MEM ACCESS and MONITOR",5529,160491
"VM EVENT, MEM ACCESS and MONITOR",X86 ARCHITECTURE,2003,58028
"VM EVENT, MEM ACCESS and MONITOR",X86 MEMORY MANAGEMENT,542,15067
VPCI,VPCI,2168,65598
VTPM,VTPM,12797,390303
X86 ARCHITECTURE,X86 ARCHITECTURE,250154,7614873
X86 ARCHITECTURE,X86 I/O EMULATION,5985,166222
X86 ARCHITECTURE,X86 MEMORY MANAGEMENT,24323,765541
X86 ARCHITECTURE,X86 MEMORY PAGING,500,14876
X86 ARCHITECTURE,X86 MEMORY SHARING,2196,60544
X86 ARCHITECTURE,X86 SHADOW PAGETABLES,10647,367662
X86 ARCHITECTURE,X86 VIRIDIAN ENLIGHTENMENTS,3836,106018
X86 I/O EMULATION,X86 I/O EMULATION,6128,171272
X86 MEMORY MANAGEMENT,X86 MEMORY MANAGEMENT,24323,765541
X86 MEMORY MANAGEMENT,X86 MEMORY PAGING,500,14876
X86 MEMORY MANAGEMENT,X86 MEMORY SHARING,2196,60544
X86 MEMORY MANAGEMENT,X86 SHADOW PAGETABLES,10647,367662
X86 MEMORY PAGING,X86 MEMORY PAGING,500,14876
X86 MEMORY SHARING,X86 MEMORY SHARING,2434,67194
X86 SHADOW PAGETABLES,X86 SHADOW PAGETABLES,10647,367662
X86 VIRIDIAN ENLIGHTENMENTS,X86 VIRIDIAN ENLIGHTENMENTS,3836,106018
XENTRACE,XENTRACE,15374,457922
XSM/FLASK,XSM/FLASK,16918,461100
