from,to,lines,size
ACPI,ACPI,17120,520581
ACPI,POWER MANAGEMENT,3751,108708
ACPI,THE REST,17120,520581
ACPI,X86 ARCHITECTURE,4318,122347
AMD IOMMU,AMD IOMMU,6217,193911
AMD IOMMU,THE REST,6217,193911
AMD SVM,AMD SVM,5553,165098
AMD SVM,THE REST,5553,165098
AMD SVM,X86 ARCHITECTURE,5553,165098
ARINC653 SCHEDULER,ARINC653 SCHEDULER,865,26541
ARINC653 SCHEDULER,SCHEDULING,778,23699
ARINC653 SCHEDULER,THE REST,865,26541
ARINC653 SCHEDULER,TOOLSTACK,87,2842
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,43361,1229547
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,HISILICON HIP04 SUPPORT,762,22693
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,THE REST,43361,1229547
CPU POOLS,CPU POOLS,814,20605
CPU POOLS,THE REST,814,20605
DEVICE TREE,DEVICE TREE,6630,201809
DEVICE TREE,THE REST,6630,201809
EFI,EFI,6431,189865
EFI,THE REST,6431,189865
EFI,X86 ARCHITECTURE,1408,44439
EVENT CHANNELS (FIFO-BASED ABI),EVENT CHANNELS (FIFO-BASED ABI),697,17608
EVENT CHANNELS (FIFO-BASED ABI),THE REST,697,17608
GDBSX DEBUGGER,GDBSX DEBUGGER,2883,77253
GDBSX DEBUGGER,THE REST,2883,77253
GDBSX DEBUGGER,TOOLSTACK,2638,69895
GDBSX DEBUGGER,X86 ARCHITECTURE,245,7358
HISILICON HIP04 SUPPORT,HISILICON HIP04 SUPPORT,762,22693
HISILICON HIP04 SUPPORT,THE REST,762,22693
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),697,22406
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),THE REST,697,22406
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),X86 ARCHITECTURE,697,22406
INTEL(R) VT FOR DIRECTED I/O (VT-D),INTEL(R) VT FOR DIRECTED I/O (VT-D),6833,207044
INTEL(R) VT FOR DIRECTED I/O (VT-D),THE REST,6833,207044
INTEL(R) VT FOR X86 (VT-X),INTEL(R) VT FOR X86 (VT-X),10187,324149
INTEL(R) VT FOR X86 (VT-X),THE REST,10187,324149
INTEL(R) VT FOR X86 (VT-X),X86 ARCHITECTURE,10187,324149
IOMMU VENDOR INDEPENDENT CODE,IOMMU VENDOR INDEPENDENT CODE,3512,102236
IOMMU VENDOR INDEPENDENT CODE,THE REST,3512,102236
KDD DEBUGGER,KDD DEBUGGER,2214,68094
KDD DEBUGGER,THE REST,2214,68094
KDD DEBUGGER,TOOLSTACK,2214,68094
KEXEC,KEXEC,408,10821
KEXEC,THE REST,408,10821
KEXEC,X86 ARCHITECTURE,408,10821
MACHINE CHECK (MCA) & RAS,MACHINE CHECK (MCA) & RAS,5208,150150
MACHINE CHECK (MCA) & RAS,THE REST,5208,150150
MACHINE CHECK (MCA) & RAS,X86 ARCHITECTURE,5208,150150
MINI-OS,MINI-OS,10,327
MINI-OS,THE REST,10,327
OCAML TOOLS,OCAML TOOLS,11968,373579
OCAML TOOLS,THE REST,11968,373579
OCAML TOOLS,TOOLSTACK,11968,373579
OVMF UPSTREAM,OVMF UPSTREAM,0,0
POWER MANAGEMENT,POWER MANAGEMENT,5475,157928
POWER MANAGEMENT,THE REST,5475,157928
POWER MANAGEMENT,X86 ARCHITECTURE,3430,98253
QEMU UPSTREAM,QEMU UPSTREAM,0,0
QEMU-DM,QEMU-DM,0,0
