from,to,lines,size
ACPI,ACPI,17120,520593
ACPI,POWER MANAGEMENT,3751,108708
ACPI,THE REST,17120,520593
ACPI,X86 ARCHITECTURE,4318,122347
AMD IOMMU,AMD IOMMU,6223,194110
AMD IOMMU,THE REST,6223,194110
AMD SVM,AMD SVM,5544,164383
AMD SVM,THE REST,5544,164383
AMD SVM,X86 ARCHITECTURE,5544,164383
ARINC653 SCHEDULER,ARINC653 SCHEDULER,865,26541
ARINC653 SCHEDULER,SCHEDULING,778,23699
ARINC653 SCHEDULER,THE REST,865,26541
ARINC653 SCHEDULER,TOOLSTACK,87,2842
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,43094,1221393
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,HISILICON HIP04 SUPPORT,762,22693
ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE,THE REST,43094,1221393
CPU POOLS,CPU POOLS,814,20605
CPU POOLS,THE REST,814,20605
DEVICE TREE,DEVICE TREE,6631,201814
DEVICE TREE,THE REST,6631,201814
EFI,EFI,6407,188769
EFI,THE REST,6407,188769
EFI,X86 ARCHITECTURE,1406,44364
EVENT CHANNELS (FIFO-BASED ABI),EVENT CHANNELS (FIFO-BASED ABI),685,17323
EVENT CHANNELS (FIFO-BASED ABI),THE REST,685,17323
GDBSX DEBUGGER,GDBSX DEBUGGER,2883,77253
GDBSX DEBUGGER,THE REST,2883,77253
GDBSX DEBUGGER,TOOLSTACK,2638,69895
GDBSX DEBUGGER,X86 ARCHITECTURE,245,7358
HISILICON HIP04 SUPPORT,HISILICON HIP04 SUPPORT,762,22693
HISILICON HIP04 SUPPORT,THE REST,762,22693
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),696,22400
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),THE REST,696,22400
INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT),X86 ARCHITECTURE,696,22400
INTEL(R) VT FOR DIRECTED I/O (VT-D),INTEL(R) VT FOR DIRECTED I/O (VT-D),6839,207239
INTEL(R) VT FOR DIRECTED I/O (VT-D),THE REST,6839,207239
INTEL(R) VT FOR X86 (VT-X),INTEL(R) VT FOR X86 (VT-X),10009,317948
INTEL(R) VT FOR X86 (VT-X),THE REST,10009,317948
INTEL(R) VT FOR X86 (VT-X),X86 ARCHITECTURE,10009,317948
IOMMU VENDOR INDEPENDENT CODE,IOMMU VENDOR INDEPENDENT CODE,3502,101920
IOMMU VENDOR INDEPENDENT CODE,THE REST,3502,101920
KDD DEBUGGER,KDD DEBUGGER,2214,68094
KDD DEBUGGER,THE REST,2214,68094
KDD DEBUGGER,TOOLSTACK,2214,68094
KEXEC,KEXEC,408,10821
KEXEC,THE REST,408,10821
KEXEC,X86 ARCHITECTURE,408,10821
MACHINE CHECK (MCA) & RAS,MACHINE CHECK (MCA) & RAS,5208,150161
MACHINE CHECK (MCA) & RAS,THE REST,5208,150161
MACHINE CHECK (MCA) & RAS,X86 ARCHITECTURE,5208,150161
MINI-OS,MINI-OS,10,327
MINI-OS,THE REST,10,327
OCAML TOOLS,OCAML TOOLS,11944,372687
OCAML TOOLS,THE REST,11944,372687
OCAML TOOLS,TOOLSTACK,11944,372687
OVMF UPSTREAM,OVMF UPSTREAM,0,0
POWER MANAGEMENT,POWER MANAGEMENT,5475,157928
POWER MANAGEMENT,THE REST,5475,157928
POWER MANAGEMENT,X86 ARCHITECTURE,3430,98253
QEMU UPSTREAM,QEMU UPSTREAM,0,0
QEMU-DM,QEMU-DM,0,0
REMUS,REMUS,4220,120680
REMUS,THE REST,4220,120680
REMUS,TOOLSTACK,4200,119556
RTDS SCHEDULER,RTDS SCHEDULER,1200,33726
RTDS SCHEDULER,SCHEDULING,1200,33726
RTDS SCHEDULER,THE REST,1200,33726
SCHEDULING,SCHEDULING,7874,228905
SCHEDULING,THE REST,7874,228905
SEABIOS UPSTREAM,SEABIOS UPSTREAM,0,0
STUB DOMAINS,STUB DOMAINS,33938,1018378
STUB DOMAINS,THE REST,33938,1018378
STUB DOMAINS,TOOLSTACK,5586,156507
STUB DOMAINS,VTPM,12453,380720
THE REST,THE REST,727184,21602944
THE REST,TOOLSTACK,309549,9023021
THE REST,TRANSCENDENT MEMORY (TMEM),4331,145349
THE REST,UNMODIFIED LINUX PV DRIVERS,1774,46164
THE REST,VM EVENT AND MEM ACCESS,2178,59665
THE REST,VTPM,12808,394910
THE REST,X86 ARCHITECTURE,164758,4996039
THE REST,X86 MEMORY MANAGEMENT,21820,703374
THE REST,X86 MEMORY SHARING AND PAGING,3959,121496
THE REST,X86 SHADOW PAGETABLES,10432,362574
THE REST,XENTRACE,14690,429024
THE REST,XSM/FLASK,16877,454860
TOOLSTACK,TOOLSTACK,309549,9023021
TOOLSTACK,VM EVENT AND MEM ACCESS,746,20697
TOOLSTACK,X86 ARCHITECTURE,11177,340606
TOOLSTACK,X86 MEMORY SHARING AND PAGING,2341,75152
TOOLSTACK,XENTRACE,13811,404475
TOOLSTACK,XSM/FLASK,1701,45366
TRANSCENDENT MEMORY (TMEM),TRANSCENDENT MEMORY (TMEM),4331,145349
UNMODIFIED LINUX PV DRIVERS,UNMODIFIED LINUX PV DRIVERS,1774,46164
USB PV DRIVERS,USB PV DRIVERS,0,0
VM EVENT AND MEM ACCESS,VM EVENT AND MEM ACCESS,2178,59665
VM EVENT AND MEM ACCESS,X86 ARCHITECTURE,523,14108
VTPM,VTPM,12808,394910
X86 ARCHITECTURE,X86 ARCHITECTURE,164758,4996039
X86 ARCHITECTURE,X86 MEMORY MANAGEMENT,21820,703374
X86 ARCHITECTURE,X86 MEMORY SHARING AND PAGING,1618,46344
X86 ARCHITECTURE,X86 SHADOW PAGETABLES,10432,362574
X86 MEMORY MANAGEMENT,X86 MEMORY MANAGEMENT,21820,703374
X86 MEMORY MANAGEMENT,X86 MEMORY SHARING AND PAGING,1618,46344
X86 MEMORY MANAGEMENT,X86 SHADOW PAGETABLES,10432,362574
X86 MEMORY SHARING AND PAGING,X86 MEMORY SHARING AND PAGING,3959,121496
X86 SHADOW PAGETABLES,X86 SHADOW PAGETABLES,10432,362574
XENTRACE,XENTRACE,14690,429024
XSM/FLASK,XSM/FLASK,16877,454860
