"c_representative","c_section","c_size"
"CHAR and MISC DRIVERS","ACER ASPIRE ONE TEMPERATURE AND FAN DRIVER",771
"CHAR and MISC DRIVERS","ACER WMI LAPTOP EXTRAS",3048
"CHAR and MISC DRIVERS","ACPI QUICKSTART DRIVER",237
"CHAR and MISC DRIVERS","ACPI SERIAL MULTI INSTANTIATE DRIVER",430
"CHAR and MISC DRIVERS","ACPI WMI DRIVER",3109
"CHAR and MISC DRIVERS","AD525X ANALOG DEVICES DIGITAL POTENTIOMETERS DRIVER",762
"CHAR and MISC DRIVERS","ADVANTECH SWBTN DRIVER",119
"CHAR and MISC DRIVERS","ALIENWARE WMI DRIVER",2892
"CHAR and MISC DRIVERS","AMD 3D V-CACHE PERFORMANCE OPTIMIZER DRIVER",188
"CHAR and MISC DRIVERS","AMD HETERO CORE HARDWARE FEEDBACK DRIVER",715
"CHAR and MISC DRIVERS","AMD HSMP DRIVER",2406
"CHAR and MISC DRIVERS","AMD PMC DRIVER",2045
"CHAR and MISC DRIVERS","AMD PMF DRIVER",4382
"CHAR and MISC DRIVERS","ASUS NOTEBOOKS AND EEEPC ACPI/WMI EXTRAS DRIVERS",10701
"CHAR and MISC DRIVERS","ASUS TF103C DOCK DRIVER",943
"CHAR and MISC DRIVERS","ASUS WIRELESS RADIO CONTROL DRIVER",198
"CHAR and MISC DRIVERS","AT24 EEPROM DRIVER",1109
"CHAR and MISC DRIVERS","BARCO P50 GPIO DRIVER",460
"CHAR and MISC DRIVERS","BROADCOM VK DRIVER",4514
"CHAR and MISC DRIVERS","CHAR and MISC DRIVERS",151709
"CHAR and MISC DRIVERS","CMPC ACPI DRIVER",1142
"CHAR and MISC DRIVERS","COMPAL LAPTOP SUPPORT",1113
"CHAR and MISC DRIVERS","DASHARO ACPI PLATFORM DRIVER",360
"CHAR and MISC DRIVERS","DELL LAPTOP DRIVER",2600
"CHAR and MISC DRIVERS","DELL LAPTOP FREEFALL DRIVER",178
"CHAR and MISC DRIVERS","DELL LAPTOP RBTN DRIVER",513
"CHAR and MISC DRIVERS","DELL PC DRIVER",302
"CHAR and MISC DRIVERS","DELL REMOTE BIOS UPDATE DRIVER",679
"CHAR and MISC DRIVERS","DELL SMBIOS DRIVER",1279
"CHAR and MISC DRIVERS","DELL SMBIOS SMM DRIVER",153
"CHAR and MISC DRIVERS","DELL SMBIOS WMI DRIVER",550
"CHAR and MISC DRIVERS","DELL SYSTEMS MANAGEMENT BASE DRIVER (dcdbas)",990
"CHAR and MISC DRIVERS","DELL WMI DDV DRIVER",1485
"CHAR and MISC DRIVERS","DELL WMI DESCRIPTOR DRIVER",205
"CHAR and MISC DRIVERS","DELL WMI HARDWARE PRIVACY SUPPORT",401
"CHAR and MISC DRIVERS","DELL WMI NOTIFICATIONS DRIVER",864
"CHAR and MISC DRIVERS","DELL WMI SYSMAN DRIVER",2459
"CHAR and MISC DRIVERS","DESIGNWARE XDATA IP DRIVER",485
"CHAR and MISC DRIVERS","DOUBLETALK DRIVER",749
"CHAR and MISC DRIVERS","ENE CB710 FLASH CARD READER DRIVER",1705
"CHAR and MISC DRIVERS","FUJITSU LAPTOP EXTRAS",1176
"CHAR and MISC DRIVERS","FUJITSU TABLET EXTRAS",541
"CHAR and MISC DRIVERS","GENWQE (IBM Generic Workqueue Card)",6778
"CHAR and MISC DRIVERS","GIGABYTE WMI DRIVER",164
"CHAR and MISC DRIVERS","GPD POCKET FAN DRIVER",224
"CHAR and MISC DRIVERS","HARD DRIVE ACTIVE PROTECTION SYSTEM (HDAPS) DRIVER",627
"CHAR and MISC DRIVERS","HEWLETT PACKARD ENTERPRISE ILO CHIF DRIVER",1141
"CHAR and MISC DRIVERS","HIKEY960 ONBOARD USB GPIO HUB DRIVER",275
"CHAR and MISC DRIVERS","HP BIOSCFG DRIVER",4605
"CHAR and MISC DRIVERS","HP COMPAQ TC1100 TABLET WMI EXTRAS DRIVER",263
"CHAR and MISC DRIVERS","HPET:	High Precision Event Timers driver",1205
"CHAR and MISC DRIVERS","IBM Power Virtual Management Channel Driver",2628
"CHAR and MISC DRIVERS","IDEAPAD LAPTOP EXTRAS DRIVER",2474
"CHAR and MISC DRIVERS","INTEL ATOMISP2 DUMMY / POWER-MANAGEMENT DRIVER",143
"CHAR and MISC DRIVERS","INTEL ATOMISP2 LED DRIVER",117
"CHAR and MISC DRIVERS","INTEL BIOS SAR INT1092 DRIVER",422
"CHAR and MISC DRIVERS","INTEL HID EVENT DRIVER",809
"CHAR and MISC DRIVERS","INTEL IN FIELD SCAN (IFS) DEVICE",2414
"CHAR and MISC DRIVERS","INTEL ISHTP ECLITE DRIVER",703
"CHAR and MISC DRIVERS","INTEL MANAGEMENT ENGINE (mei)",22270
"CHAR and MISC DRIVERS","INTEL P-Unit IPC DRIVER",397
"CHAR and MISC DRIVERS","INTEL PMC CORE DRIVER",7645
"CHAR and MISC DRIVERS","INTEL PMT DRIVERS",2984
"CHAR and MISC DRIVERS","INTEL SCU DRIVERS",1118
"CHAR and MISC DRIVERS","INTEL SDSI DRIVER",1851
"CHAR and MISC DRIVERS","INTEL SKYLAKE INT3472 ACPI DEVICE DRIVER",1776
"CHAR and MISC DRIVERS","INTEL SPEED SELECT TECHNOLOGY",11524
"CHAR and MISC DRIVERS","INTEL TELEMETRY DRIVER",2320
"CHAR and MISC DRIVERS","INTEL TPMI DRIVER",938
"CHAR and MISC DRIVERS","INTEL UNCORE FREQUENCY CONTROL",1783
"CHAR and MISC DRIVERS","INTEL VENDOR SPECIFIC EXTENDED CAPABILITIES DRIVER",1092
"CHAR and MISC DRIVERS","INTEL VIRTUAL BUTTON DRIVER",421
"CHAR and MISC DRIVERS","INTEL WMI SLIM BOOTLOADER (SBL) FIRMWARE UPDATE DRIVER",140
"CHAR and MISC DRIVERS","INTEL WMI THUNDERBOLT FORCE POWER DRIVER",74
"CHAR and MISC DRIVERS","LENOVO drivers",20389
"CHAR and MISC DRIVERS","LENOVO WMI HOTKEY UTILITIES DRIVER",224
"CHAR and MISC DRIVERS","LG LAPTOP EXTRAS",1030
"CHAR and MISC DRIVERS","LINUX KERNEL DUMP TEST MODULE (LKDTM)",3932
"CHAR and MISC DRIVERS","LIS3LV02D ACCELEROMETER DRIVER",2536
"CHAR and MISC DRIVERS","MARVELL OCTEON CN10K DPI DRIVER",676
"CHAR and MISC DRIVERS","MICROBLAZE TMR INJECT",219
"CHAR and MISC DRIVERS","MICROBLAZE TMR MANAGER",283
"CHAR and MISC DRIVERS","MICROCHIP LAN966X PCI DRIVER",392
"CHAR and MISC DRIVERS","MICROCHIP PCI1XXXX GP DRIVER",1172
"CHAR and MISC DRIVERS","MSI EC DRIVER",1485
"CHAR and MISC DRIVERS","MSI LAPTOP SUPPORT",1149
"CHAR and MISC DRIVERS","MSI WMI PLATFORM FEATURES",706
"CHAR and MISC DRIVERS","MSI WMI SUPPORT",333
"CHAR and MISC DRIVERS","NITRO SECURE MODULE (NSM)",536
"CHAR and MISC DRIVERS","NVIDIA WMI EC BACKLIGHT DRIVER",219
"CHAR and MISC DRIVERS","OCXL (Open Coherent Accelerator Processor Interface OpenCAPI) DRIVER",5942
"CHAR and MISC DRIVERS","ONEXPLAYER PLATFORM EC DRIVER",1086
"CHAR and MISC DRIVERS","PANASONIC LAPTOP ACPI EXTRAS DRIVER",1145
"CHAR and MISC DRIVERS","PC ENGINES APU BOARD DRIVER",338
"CHAR and MISC DRIVERS","PC8736x GPIO DRIVER",352
"CHAR and MISC DRIVERS","PORTWELL EC DRIVER",460
"CHAR and MISC DRIVERS","POWERNV OPERATOR PANEL LCD DISPLAY DRIVER",224
"CHAR and MISC DRIVERS","QUALCOMM FASTRPC DRIVER",2822
"CHAR and MISC DRIVERS","REDMIBOOK WMI DRIVERS",130
"CHAR and MISC DRIVERS","RICOH R5C592 MEMORYSTICK DRIVER",1066
"CHAR and MISC DRIVERS","RPMB SUBSYSTEM",393
"CHAR and MISC DRIVERS","SAMSUNG GALAXY BOOK DRIVER",1600
"CHAR and MISC DRIVERS","SAMSUNG LAPTOP DRIVER",1767
"CHAR and MISC DRIVERS","SCx200 GPIO DRIVER",221
"CHAR and MISC DRIVERS","SENSABLE PHANTOM",614
"CHAR and MISC DRIVERS","SGI GRU DRIVER",6946
"CHAR and MISC DRIVERS","SGI XP/XPC/XPNET DRIVER",6698
"CHAR and MISC DRIVERS","SIEMENS IPC PLATFORM DRIVERS",887
"CHAR and MISC DRIVERS","SILEAD TOUCHSCREEN DRIVER",2821
"CHAR and MISC DRIVERS","SONY MEMORYSTICK SUBSYSTEM",8843
"CHAR and MISC DRIVERS","SONY VAIO CONTROL DEVICE DRIVER",6461
"CHAR and MISC DRIVERS","SYSTEM76 ACPI DRIVER",823
"CHAR and MISC DRIVERS","TELECOM CLOCK DRIVER FOR MCPL0010",924
"CHAR and MISC DRIVERS","THINKPAD ACPI EXTRAS DRIVER",12097
"CHAR and MISC DRIVERS","THINKPAD LMI DRIVER",2489
"CHAR and MISC DRIVERS","TI FLASH MEDIA MEMORYSTICK/MMC DRIVERS",2714
"CHAR and MISC DRIVERS","TI FPC202 DUAL PORT CONTROLLER",529
"CHAR and MISC DRIVERS","TOPSTAR LAPTOP EXTRAS DRIVER",399
"CHAR and MISC DRIVERS","TOSHIBA ACPI EXTRAS DRIVER",3654
"CHAR and MISC DRIVERS","TOSHIBA BLUETOOTH DRIVER",296
"CHAR and MISC DRIVERS","TOSHIBA HDD ACTIVE PROTECTION SENSOR DRIVER",264
"CHAR and MISC DRIVERS","TOSHIBA SMM DRIVER",599
"CHAR and MISC DRIVERS","TOSHIBA WMI HOTKEYS DRIVER",124
"CHAR and MISC DRIVERS","TUXEDO DRIVERS",1166
"CHAR and MISC DRIVERS","UACCE ACCELERATOR FRAMEWORK",1098
"CHAR and MISC DRIVERS","UV SYSFS DRIVER",933
"CHAR and MISC DRIVERS","VIRTIO CONSOLE DRIVER",2309
"CHAR and MISC DRIVERS","VMWARE BALLOON DRIVER",1920
"CHAR and MISC DRIVERS","VMWARE VMCI DRIVER",10009
"CHAR and MISC DRIVERS","WMI BINARY MOF DRIVER",138
"CHAR and MISC DRIVERS","X86 PLATFORM ANDROID TABLETS DSDT FIXUP DRIVER",3981
"CHAR and MISC DRIVERS","X86 PLATFORM DRIVERS",147563
"CHAR and MISC DRIVERS","XILLYBUS DRIVER",4978
"CHECKPATCH","CHECKPATCH",7865
"CIRRUS LOGIC DSP FIRMWARE DRIVER","CIRRUS LOGIC DSP FIRMWARE DRIVER",21506
"CLANG CONTROL FLOW INTEGRITY SUPPORT","CLANG CONTROL FLOW INTEGRITY SUPPORT",201
"CLANG-FORMAT FILE","CLANG-FORMAT FILE",803
"CLK API","CLK API",1235
"COMEDI DRIVERS","COMEDI DRIVERS",133321
"COMPILER ATTRIBUTES","COMPILER ATTRIBUTES",412
"CONTEXT TRACKING","CONTEXT TRACKING",1072
"CPU POWER MONITORING SUBSYSTEM","CPU POWER MONITORING SUBSYSTEM",19270
"CRYPTO SPEED TEST COMPARE","CRYPTO SPEED TEST COMPARE",190
"CW1200 WLAN driver","CW1200 WLAN driver",13563
"DEVICE DEPENDENCY HELPER SCRIPT","DEVICE DEPENDENCY HELPER SCRIPT",315
"DEVICE DIRECT ACCESS (DAX)","DEVICE DIRECT ACCESS (DAX)",3712
"DEVICE RESOURCE MANAGEMENT HELPERS","DEVICE RESOURCE MANAGEMENT HELPERS",79
"DIBS (DIRECT INTERNAL BUFFER SHARING)","DIBS (DIRECT INTERNAL BUFFER SHARING)",1190
"DISK GEOMETRY AND PARTITION HANDLING","DISK GEOMETRY AND PARTITION HANDLING",0
"DISTRIBUTED LOCK MANAGER (DLM)","DISTRIBUTED LOCK MANAGER (DLM)",19623
"DMA MAPPING HELPERS","DMA MAPPING BENCHMARK",381
"DMA MAPPING HELPERS","DMA MAPPING HELPERS",9222
"DMI/SMBIOS SUPPORT","DMI/SMBIOS SUPPORT",1659
"DPLL SUBSYSTEM","DPLL SUBSYSTEM",11075
"DPLL SUBSYSTEM","MICROCHIP ZL3073X DRIVER",6734
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","AUXILIARY BUS DRIVER",1327
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","BITMAP API [RUST]",936
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","BITMAP API BINDINGS [RUST]",79
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","BITOPS API BINDINGS [RUST]",23
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","BLOCK LAYER DEVICE DRIVER API [RUST]",1356
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","CONFIGFS",5371
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","CPU HOTPLUG",4641
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","CPUMASK API [RUST]",343
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","DELAY, SLEEP, TIMEKEEPING, TIMERS [RUST]",1784
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","DEVICE COREDUMP (DEV_COREDUMP)",606
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","DEVICE I/O & IRQ [RUST]",1534
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","DMA MAPPING & SCATTERLIST API [RUST]",1405
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","DRIVER COMPONENT FRAMEWORK",975
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS",70870
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","DYNAMIC THERMAL POWER MANAGEMENT (DTPM)",1285
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","ENERGY MODEL",1800
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","ETHERNET PHY LIBRARY [RUST]",1133
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","FIRMWARE LOADER (request_firmware)",4242
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","FREEZER",595
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","GENERIC ARCHITECTURE TOPOLOGY",972
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","HIBERNATION (aka Software Suspend, aka swsusp)",25547
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","ISA",406
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","MEMORY MANAGEMENT - RUST",1265
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","OPERATING PERFORMANCE POINTS (OPP)",9837
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","PCI SUBSYSTEM [RUST]",1381
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","POWER MANAGEMENT CORE",20639
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","REGISTER MAP ABSTRACTION",16020
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","RUST",56439
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","RUST [ALLOC]",2976
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","RUST [PIN-INIT]",5739
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","SOFTWARE NODES AND DEVICE PROPERTIES",3446
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","SUSPEND TO RAM",31283
"DRIVER CORE, KOBJECTS, DEBUGFS AND SYSFS","XARRAY API [RUST]",276
"DRM COMPUTE ACCELERATORS DRIVERS AND FRAMEWORK","AMD XDNA DRIVER",9763
"DRM COMPUTE ACCELERATORS DRIVERS AND FRAMEWORK","DRM ACCEL DRIVER FOR ROCKCHIP NPU",6201
"DRM COMPUTE ACCELERATORS DRIVERS AND FRAMEWORK","DRM ACCEL DRIVERS FOR INTEL VPU",14573
"DRM COMPUTE ACCELERATORS DRIVERS AND FRAMEWORK","DRM COMPUTE ACCELERATORS DRIVERS AND FRAMEWORK",375565
"DRM COMPUTE ACCELERATORS DRIVERS AND FRAMEWORK","HABANALABS PCI DRIVER",342807
"DRM COMPUTE ACCELERATORS DRIVERS AND FRAMEWORK","QUALCOMM CLOUD AI (QAIC) DRIVER",9080
"DRM DRIVERS","AMD DISPLAY CORE",529479
"DRM DRIVERS","AMD DISPLAY CORE - DML",133804
"DRM DRIVERS","AMD KFD",65125
"DRM DRIVERS","AMD POWERPLAY AND SWSMU",177655
"DRM DRIVERS","ARC PGU DRM DRIVER",470
"DRM DRIVERS","ARM HDLCD DRM DRIVER",980
"DRM DRIVERS","ARM KOMEDA DRM-KMS DRIVER",9606
"DRM DRIVERS","ARM MALI PANFROST DRM DRIVER",7440
"DRM DRIVERS","ARM MALI PANTHOR DRM DRIVER",15510
"DRM DRIVERS","ARM MALI TYR DRM DRIVER",1892
"DRM DRIVERS","ARM MALI-DP DRM DRIVER",15401
"DRM DRIVERS","CORE DRIVER FOR NVIDIA GPUS [RUST]",6862
"DRM DRIVERS","DRM AUTOMATED TESTING",5976
"DRM DRIVERS","DRM DRIVER FOR ALLWINNER DE2 AND DE3 ENGINE",5510
"DRM DRIVERS","DRM DRIVER FOR APPLE TOUCH BARS",834
"DRM DRIVERS","DRM DRIVER FOR ARM PL111 CLCD",1925
"DRM DRIVERS","DRM DRIVER FOR ARM VERSATILE TFT PANELS",426
"DRM DRIVERS","DRM DRIVER FOR ASPEED BMC GFX",855
"DRM DRIVERS","DRM DRIVER FOR AST SERVER GRAPHICS CHIPS",7626
"DRM DRIVERS","DRM DRIVER FOR BOCHS VIRTUAL GPU",829
"DRM DRIVERS","DRM DRIVER FOR BOE HIMAX8279D PANELS",976
"DRM DRIVERS","DRM DRIVER FOR CHIPONE ICN6211 MIPI-DSI to RGB CONVERTER BRIDGE",947
