release,date
v0.14.0,2011-02-16
v0.14.1,2011-05-04
v0.15.0,2011-08-08
v0.15.1,2011-10-11
v1.0,2011-12-01
v1.0.1,2012-02-02
v1.1.0,2012-06-01
v1.1.1,2012-07-12
v1.2.0,2012-09-05
v1.1.2,2012-09-05
v1.2.1,2012-10-11
v1.3.0,2012-12-03
v1.2.2,2012-12-11
v1.3.1,2013-01-28
v1.4.0,2013-02-15
v1.4.1,2013-04-15
v1.5.0,2013-05-20
v1.4.2,2013-05-23
v1.5.1,2013-06-26
v1.5.2,2013-07-25
v1.6.0,2013-08-15
v1.5.3,2013-08-22
v1.6.1,2013-10-04
v1.7.0,2013-11-27
v1.6.2,2013-12-09
v1.7.1,2014-03-03
v2.0.0,2014-04-17
v1.7.2,2014-07-21
v2.1.0,2014-08-01
v2.0.1,2014-08-15
v2.0.2,2014-08-18
v2.1.1,2014-09-10
v2.1.2,2014-09-25
v2.2.0,2014-12-09
v2.1.3,2015-01-21
v2.2.1,2015-03-10
v2.3.0,2015-04-24
v2.3.1,2015-08-10
v2.4.0,2015-08-11
v2.4.0.1,2015-09-22
v2.4.1,2015-10-31
v2.5.0,2015-12-16
v2.5.1,2016-03-29
v2.5.1.1,2016-05-09
v2.6.0,2016-05-11
v2.6.1,2016-08-17
v2.7.0,2016-09-02
v2.6.2,2016-09-29
v2.8.0,2016-12-20
v2.7.1,2016-12-23
v2.8.1,2017-03-30
v2.9.0,2017-04-20
v2.8.1.1,2017-04-20
v2.10.0,2017-08-30
v2.9.1,2017-09-07
v2.10.1,2017-10-02
v2.11.0,2017-12-13
v2.10.2,2017-12-18
v2.11.1,2018-02-14
v2.12.0,2018-04-24
v2.11.2,2018-06-26
v2.12.1,2018-08-02
v3.0.0,2018-08-14
v3.1.0,2018-12-11
v3.0.1,2019-04-11
v4.0.0,2019-04-23
v3.1.1,2019-08-02
v4.1.0,2019-08-15
v3.1.1.1,2019-10-01
v4.0.1,2019-10-17
v4.1.1,2019-11-14
v4.2.0,2019-12-12
v5.0.0,2020-04-28
v4.2.1,2020-06-25
v5.1.0,2020-08-11
v5.0.1,2020-09-15
v5.2.0,2020-12-08
v6.0.0,2021-04-29
v6.1.0,2021-08-24
v6.0.1,2021-10-28
v6.2.0,2021-12-14
v6.1.1,2021-12-23
v7.0.0,2022-04-19
v7.1.0,2022-08-30
v7.2.0,2022-12-13
v7.2.1,2023-03-30
v8.0.0,2023-04-19
staging-mjt-test,2023-04-23
v7.2.2,2023-04-23
v7.2.3,2023-05-29
v8.0.1,2023-05-29
v8.0.2,2023-05-30
trivial-patches-pull-request,2023-06-09
v7.2.4,2023-07-09
v8.0.3,2023-07-09
v8.0.4,2023-08-07
v7.2.5,2023-08-07
v8.1.0,2023-08-22
v8.0.5,2023-09-21
v7.2.6,2023-09-21
v8.1.1,2023-09-21
v8.1.2,2023-10-16
v8.1.3,2023-11-21
v7.2.7,2023-11-21
v8.2.0,2023-12-19
v7.2.8,2023-12-22
v8.1.4,2023-12-22
v7.2.9,2024-01-29
v8.1.5,2024-01-29
v8.2.1,2024-01-29
v7.2.10,2024-03-04
v8.2.2,2024-03-04
v9.0.0,2024-04-23
v7.2.11,2024-04-24
v8.2.3,2024-04-24
v8.2.4,2024-05-13
v7.2.12,2024-06-09
v8.2.5,2024-06-09
v9.0.1,2024-06-09
v7.2.13,2024-07-16
v8.2.6,2024-07-16
v9.0.2,2024-07-16
v9.1.0,2024-09-03
v7.2.14,2024-09-18
v8.2.7,2024-09-18
v9.0.3,2024-09-18
v9.1.1,2024-10-18
v7.2.15,2024-11-21
v8.2.8,2024-11-21
v9.0.4,2024-11-21
v9.1.2,2024-11-21
v9.2.0,2024-12-10
v9.1.3,2025-02-08
v9.2.1,2025-02-08
v7.2.16,2025-02-08
v8.2.9,2025-02-08
v9.2.2,2025-02-24
v9.2.3,2025-03-26
v8.2.10,2025-03-26
v7.2.17,2025-03-26
v10.0.0,2025-04-22
v7.2.18,2025-05-26
v9.2.4,2025-05-26
v10.0.1,2025-05-26
v10.0.2,2025-05-28
v10.0.3,2025-07-22
v7.2.19,2025-07-22
v10.1.0,2025-08-26
v10.0.4,2025-09-08
v7.2.20,2025-09-08
v10.0.5,2025-10-08
v10.1.1,2025-10-08
v7.2.21,2025-10-08
v10.1.2,2025-10-20
v10.0.6,2025-10-20
v10.1.3,2025-12-05
v10.0.7,2025-12-05
v7.2.22,2025-12-05
v10.2.0,2025-12-23
v10.2.1,2026-02-12
v10.1.4,2026-02-12
v10.0.8,2026-02-12
v10.0.9,2026-03-17
v10.1.5,2026-03-17
v10.2.2,2026-03-17
v11.0.0,2026-04-21
v10.0.10,2026-05-25
v10.2.3,2026-05-25
v11.0.1,2026-05-25
v11.0.2,2026-06-25
v10.2.4,2026-06-25
v10.0.11,2026-06-25
