release,date
2009.02_rc2,2009-01-23
2009.02_rc3,2009-01-31
2009.02_rc4,2009-02-09
2009.02,2009-02-12
2009.05_rc1,2009-05-05
2009.05_rc2,2009-05-19
2009.05_rc3,2009-05-27
2009.05,2009-06-01
2009.08_rc1,2009-08-02
2009.08_rc2,2009-08-06
2009.08_rc3,2009-08-26
2009.08,2009-08-31
2009.11_rc1,2009-11-23
2009.11_rc2,2009-11-29
2009.11,2009-12-01
2010.02_rc1,2010-02-09
2010.02_rc2,2010-02-23
2010.02,2010-02-26
2010.05_rc1,2010-05-03
2010.05_rc2,2010-05-11
2010.05_rc3,2010-05-27
2010.05,2010-05-30
2010.08_rc1,2010-07-30
2010.08_rc2,2010-08-30
2010.08,2010-09-01
2010.11_rc1,2010-11-08
2010.11_rc2,2010-11-25
2010.11,2010-11-30
2011.02_rc1,2011-02-14
2011.02_rc2,2011-02-24
2011.02,2011-02-28
2011.05_rc1,2011-05-18
2011.05_rc2,2011-05-24
2011.05,2011-05-27
2011.08_rc1,2011-08-04
2011.08_rc2,2011-08-29
2011.08,2011-08-31
2011.11_rc1,2011-11-11
2011.11_rc2,2011-11-18
2011.11_rc3,2011-11-26
2011.11,2011-12-01
2012.02_rc1,2012-02-12
2012.02_rc2,2012-02-19
2012.02_rc3,2012-02-27
2012.02,2012-02-29
2012.05_rc1,2012-05-10
2012.05_rc2,2012-05-18
2012.05_rc3,2012-05-25
2012.05,2012-05-30
2012.08_rc1,2012-08-01
2012.08_rc2,2012-08-15
2012.08_rc3,2012-08-25
2012.08,2012-08-31
2012.11_rc1,2012-11-17
2012.11_rc2,2012-11-30
2012.11,2012-12-02
2012.11.1,2013-01-03
2013.02_rc1,2013-02-10
2013.02_rc2,2013-02-19
2013.02_rc3,2013-02-26
2013.02,2013-02-28
2013.05_rc1,2013-05-08
2013.05_rc2,2013-05-15
2013.05_rc3,2013-05-25
2013.05,2013-05-31
2013.08_rc1,2013-08-05
2013.08_rc2,2013-08-16
2013.08_rc3,2013-08-30
2013.08,2013-08-31
2013.08.1,2013-09-17
2013.11_rc1,2013-11-12
2013.11,2013-11-30
2014.02,2014-02-27
2014.05,2014-05-31
2014.08,2014-09-01
2014.11,2014-12-01
2015.02,2015-03-01
2015.05,2015-05-31
2015.08,2015-08-31
2015.08.1,2015-09-06
2015.11,2015-11-30
2015.11.1,2015-12-05
2016.02,2016-03-01
2016.05,2016-05-31
2016.08,2016-09-01
2016.08.1,2016-09-21
2016.11,2016-11-30
2016.11.1,2016-12-29
2016.11.2,2017-01-25
2017.02,2017-02-28
2016.11.3,2017-03-10
2017.02.1,2017-04-05
2017.02.2,2017-05-02
2017.05,2017-05-31
2017.02.3,2017-06-02
2017.02.4,2017-07-04
2017.05.1,2017-07-04
2017.02.5,2017-07-26
2017.05.2,2017-07-27
2017.08,2017-09-02
2017.02.6,2017-09-24
2017.08.1,2017-10-23
2017.02.7,2017-10-28
2017.02.8,2017-11-28
2017.08.2,2017-11-29
2017.11,2017-11-30
2017.11.1,2017-12-31
2017.02.9,2018-01-01
2017.11.2,2018-01-21
2017.02.10,2018-01-31
2018.02,2018-03-04
2018.02.1,2018-04-09
2017.02.11,2018-04-11
2018.02.2,2018-05-04
2018.05,2018-06-01
2018.02.3,2018-06-18
2018.05.1,2018-07-20
2018.02.4,2018-07-21
2018.05.2,2018-08-28
2018.02.5,2018-08-29
2018.08,2018-09-06
2018.05.3,2018-10-06
2018.02.6,2018-10-07
2018.08.1,2018-10-07
2018.08.2,2018-10-25
2018.02.7,2018-10-25
2018.08.3,2018-11-26
2018.02.8,2018-11-26
2018.11,2018-12-01
2018.11.1,2018-12-19
2018.08.4,2018-12-20
2018.02.9,2018-12-20
2018.11.2,2019-01-30
2018.02.10,2019-01-31
2018.02.11,2019-02-23
2018.11.3,2019-02-23
2019.02,2019-03-04
2018.11.4,2019-03-28
2018.02.12,2019-03-29
2019.02.1,2019-03-29
2019.02.2,2019-04-29
2019.05,2019-06-02
2019.02.3,2019-06-07
2019.05.1,2019-07-07
2019.02.4,2019-07-10
2019.08,2019-09-01
2019.02.5,2019-09-02
2019.05.2,2019-09-03
2019.08.1,2019-10-03
2019.05.3,2019-10-03
2019.02.6,2019-10-03
2019.08.2,2019-11-09
2019.02.7,2019-11-10
2019.11,2019-12-01
2019.08.3,2019-12-07
2019.02.8,2019-12-07
2019.11.1,2020-01-12
2019.02.9,2020-01-12
2020.02,2020-03-08
2019.11.2,2020-03-16
2019.02.10,2020-03-16
2019.02.11,2020-04-09
2019.11.3,2020-04-10
2020.02.1,2020-04-10
2020.02.2,2020-05-12
2020.05,2020-06-01
2020.02.3,2020-06-03
2020.05.1,2020-07-25
2020.02.4,2020-07-26
2020.05.2,2020-08-29
2020.02.5,2020-08-29
2020.08,2020-09-01
2020.02.6,2020-09-05
2020.08.1,2020-10-12
2020.05.3,2020-10-12
2020.02.7,2020-10-12
2020.08.2,2020-11-16
2020.02.8,2020-11-17
2020.11,2020-12-02
2020.11.1,2020-12-27
2020.08.3,2020-12-27
2020.02.9,2020-12-27
2020.11.2,2021-01-31
2020.02.10,2021-01-31
2020.11.3,2021-02-17
2020.02.11,2021-02-17
2021.02,2021-03-06
2020.11.4,2021-04-05
2020.02.12,2021-04-05
2021.02.1,2021-04-07
2021.02.2,2021-05-12
2021.05,2021-06-06
2021.02.3,2021-06-12
2021.05.1,2021-08-10
2021.02.4,2021-08-10
2021.08,2021-09-04
2021.05.2,2021-09-15
