"c_representative","c_section","c_size"
"SPI","ARM BROADCOM BCMSTB",981
"SPI","ARM HPE GXP ARCHITECTURE",830
"SPI","ARM IPQ40XX",1727
"SPI","ASPEED FMC SPI DRIVER",1214
"SPI","SPI",41337
"SPI","SPI-NOR",9491
"SPI NAND","SPI NAND",3337
"SQUASHFS","SQUASHFS",3183
"STACKPROTECTOR","STACKPROTECTOR",65
"TEE-lib","TEE-lib",226
"TI LP5562 LED DRIVER","TI LP5562 LED DRIVER",575
"TQ GROUP","TQ GROUP",0
"UFETCH","UFETCH",234
"USB","DFU",50370
"USB","FASTBOOT",4393
"USB","ROCKUSB",1062
"USB","USB",115438
"USB","USB TCPM",4947
"USB","USB xHCI",7081
"UUID testing","UUID testing",161
"VBE","VBE",1991
"VIDEO","ARM NEXELL S5P4418",17326
"VIDEO","ASPEED AST2600 I2C DRIVER",365
"VIDEO","I2C",27547
"VIDEO","MALI DISPLAY PROCESSORS",677
"VIDEO","TDA19988 HDMI ENCODER",654
"VIDEO","VIDEO",94649
"X86","X86",101965
"XTENSA","XTENSA",5697
"XXD","XXD",194
