"c_representative","c_section","c_size"
"AMD IOMMU","AMD IOMMU",6223
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE",43094
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","HISILICON HIP04 SUPPORT",762
"CPU POOLS","CPU POOLS",814
"DEVICE TREE","DEVICE TREE",6631
"EVENT CHANNELS (FIFO-BASED ABI)","EVENT CHANNELS (FIFO-BASED ABI)",685
"INTEL(R) VT FOR DIRECTED I/O (VT-D)","INTEL(R) VT FOR DIRECTED I/O (VT-D)",6839
"IOMMU VENDOR INDEPENDENT CODE","IOMMU VENDOR INDEPENDENT CODE",3502
"MINI-OS","MINI-OS",10
"OVMF UPSTREAM","OVMF UPSTREAM",0
"QEMU UPSTREAM","QEMU UPSTREAM",0
"QEMU-DM","QEMU-DM",0
"SCHEDULING","ARINC653 SCHEDULER",865
"SCHEDULING","RTDS SCHEDULER",1200
"SCHEDULING","SCHEDULING",7874
"SEABIOS UPSTREAM","SEABIOS UPSTREAM",0
"STUB DOMAINS","STUB DOMAINS",33938
"STUB DOMAINS","VTPM",12808
"TOOLSTACK","GDBSX DEBUGGER",2883
"TOOLSTACK","KDD DEBUGGER",2214
"TOOLSTACK","OCAML TOOLS",11944
"TOOLSTACK","REMUS",4220
"TOOLSTACK","TOOLSTACK",309549
"TOOLSTACK","VM EVENT AND MEM ACCESS",2178
"TOOLSTACK","X86 MEMORY SHARING AND PAGING",3959
"TOOLSTACK","XENTRACE",14690
"TOOLSTACK","XSM/FLASK",16877
"TRANSCENDENT MEMORY (TMEM)","TRANSCENDENT MEMORY (TMEM)",4331
"UNMODIFIED LINUX PV DRIVERS","UNMODIFIED LINUX PV DRIVERS",1774
"USB PV DRIVERS","USB PV DRIVERS",0
"X86 ARCHITECTURE","ACPI",17120
"X86 ARCHITECTURE","AMD SVM",5544
"X86 ARCHITECTURE","EFI",6407
"X86 ARCHITECTURE","INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT)",696
"X86 ARCHITECTURE","INTEL(R) VT FOR X86 (VT-X)",10009
"X86 ARCHITECTURE","KEXEC",408
"X86 ARCHITECTURE","MACHINE CHECK (MCA) & RAS",5208
"X86 ARCHITECTURE","POWER MANAGEMENT",5475
"X86 ARCHITECTURE","X86 ARCHITECTURE",164758
"X86 ARCHITECTURE","X86 MEMORY MANAGEMENT",21820
"X86 ARCHITECTURE","X86 SHADOW PAGETABLES",10432
