release,date
v1.3.1r2,2013-07-26
v1.3.1r3,2013-09-16
v1.4.0r0,2013-09-17
v1.4.1r0,2013-09-17
v1.4.1r1,2013-09-17
v1.5.0r0,2013-10-09
v1.5.0r1,2013-10-09
v1.4.1r2,2013-10-09
v1.5.0r2,2013-11-22
v1.5.1r0,2013-11-24
v1.5.1r1,2013-11-24
v1.5.1r2,2014-01-02
v1.5.2r0,2014-01-15
v1.5.2r1,2014-01-16
v1.5.2r2,2014-02-26
v1.6.0r0,2014-02-26
v1.6.0r1,2014-02-26
v1.6.0r2,2014-05-01
v1.7.0,2014-07-04
v1.7.1,2014-09-03
v1.8.0,2014-12-20
v2.0.0,2015-04-03
v2.1.0,2015-08-17
v2.2.0,2015-12-15
v16.04,2016-04-11
v16.07,2016-07-28
v16.11,2016-11-13
v17.02,2017-02-14
v17.05,2017-05-11
v17.08,2017-08-08
v17.11,2017-11-15
v18.02,2018-02-14
v18.05,2018-05-30
v18.08,2018-08-09
v18.11,2018-11-27
v19.02,2019-02-01
v19.05,2019-05-13
v19.08,2019-08-11
v19.11,2019-11-28
v20.02,2020-02-25
v20.05,2020-05-26
v20.08,2020-08-08
v20.11,2020-11-27
v21.02,2021-02-14
v21.05,2021-05-21
v21.08,2021-08-08
