from,to,lines,size
3C59X NETWORK DRIVER,3C59X NETWORK DRIVER,3805,119753
3C59X NETWORK DRIVER,DOCUMENTATION,448,15113
3C59X NETWORK DRIVER,NETWORKING DRIVERS,3357,104640
3C59X NETWORK DRIVER,NETWORKING [GENERAL],448,15113
3C59X NETWORK DRIVER,THE REST,3805,119753
3CR990 NETWORK DRIVER,3CR990 NETWORK DRIVER,3186,94080
3CR990 NETWORK DRIVER,NETWORKING DRIVERS,3186,94080
3CR990 NETWORK DRIVER,THE REST,3186,94080
"3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)","3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)",8133,277867
"3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)",SCSI SUBSYSTEM,8133,277867
"3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)",THE REST,8133,277867
53C700 AND 53C700-66 SCSI DRIVER,53C700 AND 53C700-66 SCSI DRIVER,4386,125559
53C700 AND 53C700-66 SCSI DRIVER,LASI 53c700 driver for PARISC,4386,125559
53C700 AND 53C700-66 SCSI DRIVER,SCSI SUBSYSTEM,4386,125559
53C700 AND 53C700-66 SCSI DRIVER,THE REST,4386,125559
6LOWPAN GENERIC (BTLE/IEEE 802.15.4),6LOWPAN GENERIC (BTLE/IEEE 802.15.4),3526,99307
6LOWPAN GENERIC (BTLE/IEEE 802.15.4),DOCUMENTATION,50,1401
6LOWPAN GENERIC (BTLE/IEEE 802.15.4),NETWORKING [GENERAL],3526,99307
6LOWPAN GENERIC (BTLE/IEEE 802.15.4),THE REST,3526,99307
6PACK NETWORK DRIVER FOR AX.25,6PACK NETWORK DRIVER FOR AX.25,1006,24468
6PACK NETWORK DRIVER FOR AX.25,NETWORKING DRIVERS,1006,24468
6PACK NETWORK DRIVER FOR AX.25,THE REST,1006,24468
802.11 (including CFG80211/NL80211),802.11 (including CFG80211/NL80211),58711,1761659
802.11 (including CFG80211/NL80211),DOCUMENTATION,558,15896
802.11 (including CFG80211/NL80211),NETWORKING [GENERAL],49368,1402532
802.11 (including CFG80211/NL80211),THE REST,58711,1761659
8169 10/100/1000 GIGABIT ETHERNET DRIVER,8169 10/100/1000 GIGABIT ETHERNET DRIVER,7484,188756
8169 10/100/1000 GIGABIT ETHERNET DRIVER,NETWORKING DRIVERS,7484,188756
8169 10/100/1000 GIGABIT ETHERNET DRIVER,THE REST,7484,188756
8250/16?50 (AND CLONE UARTS) SERIAL DRIVER,8250/16?50 (AND CLONE UARTS) SERIAL DRIVER,182,6271
8250/16?50 (AND CLONE UARTS) SERIAL DRIVER,THE REST,182,6271
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]","8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",13326,395678
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",ARM/RISCPC ARCHITECTURE,856,20365
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",NETWORKING DRIVERS,13326,395678
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",THE REST,13326,395678
9P FILE SYSTEM,9P FILE SYSTEM,15049,378227
9P FILE SYSTEM,DOCUMENTATION,161,5877
9P FILE SYSTEM,NETWORKING [GENERAL],7836,194682
9P FILE SYSTEM,THE REST,15049,378227
9P FILE SYSTEM,TRACING,174,5218
9P FILE SYSTEM,"VIRTIO CORE, NET AND BLOCK DRIVERS",44,2041
A8293 MEDIA DRIVER,A8293 MEDIA DRIVER,175,4017
A8293 MEDIA DRIVER,MEDIA INPUT INFRASTRUCTURE (V4L/DVB),175,4017
A8293 MEDIA DRIVER,THE REST,175,4017
AACRAID SCSI RAID DRIVER,AACRAID SCSI RAID DRIVER,16963,471729
AACRAID SCSI RAID DRIVER,DOCUMENTATION,150,6849
AACRAID SCSI RAID DRIVER,SCSI SUBSYSTEM,16813,464880
AACRAID SCSI RAID DRIVER,THE REST,16963,471729
ABI/API,ABI/API,1733,59580
ABI/API,THE REST,1733,59580
"ABIT UGURU 1,2 HARDWARE MONITOR DRIVER","ABIT UGURU 1,2 HARDWARE MONITOR DRIVER",1650,53787
"ABIT UGURU 1,2 HARDWARE MONITOR DRIVER",HARDWARE MONITORING,1650,53787
"ABIT UGURU 1,2 HARDWARE MONITOR DRIVER",THE REST,1650,53787
ABIT UGURU 3 HARDWARE MONITOR DRIVER,ABIT UGURU 3 HARDWARE MONITOR DRIVER,1321,41776
ABIT UGURU 3 HARDWARE MONITOR DRIVER,HARDWARE MONITORING,1321,41776
ABIT UGURU 3 HARDWARE MONITOR DRIVER,THE REST,1321,41776
ACCES 104-DIO-48E GPIO DRIVER,ACCES 104-DIO-48E GPIO DRIVER,488,14591
ACCES 104-DIO-48E GPIO DRIVER,GPIO SUBSYSTEM,488,14591
ACCES 104-DIO-48E GPIO DRIVER,THE REST,488,14591
ACCES 104-IDI-48 GPIO DRIVER,ACCES 104-IDI-48 GPIO DRIVER,348,9559
ACCES 104-IDI-48 GPIO DRIVER,GPIO SUBSYSTEM,348,9559
ACCES 104-IDI-48 GPIO DRIVER,THE REST,348,9559
ACCES 104-IDIO-16 GPIO DRIVER,ACCES 104-IDIO-16 GPIO DRIVER,307,8428
ACCES 104-IDIO-16 GPIO DRIVER,GPIO SUBSYSTEM,307,8428
ACCES 104-IDIO-16 GPIO DRIVER,THE REST,307,8428
ACCES 104-QUAD-8 IIO DRIVER,ACCES 104-QUAD-8 IIO DRIVER,748,23281
ACCES 104-QUAD-8 IIO DRIVER,IIO SUBSYSTEM AND DRIVERS,748,23281
ACCES 104-QUAD-8 IIO DRIVER,THE REST,748,23281
