from,to,lines,size
3C59X NETWORK DRIVER,3C59X NETWORK DRIVER,3809,120384
3C59X NETWORK DRIVER,DOCUMENTATION,448,15097
3C59X NETWORK DRIVER,NETWORKING DRIVERS,3361,105287
3C59X NETWORK DRIVER,THE REST,3809,120384
3CR990 NETWORK DRIVER,3CR990 NETWORK DRIVER,3180,93878
3CR990 NETWORK DRIVER,NETWORKING DRIVERS,3180,93878
3CR990 NETWORK DRIVER,THE REST,3180,93878
"3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)","3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)",8222,280639
"3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)",SCSI SUBSYSTEM,8222,280639
"3WARE SAS/SATA-RAID SCSI DRIVERS (3W-XXXX, 3W-9XXX, 3W-SAS)",THE REST,8222,280639
53C700 AND 53C700-66 SCSI DRIVER,53C700 AND 53C700-66 SCSI DRIVER,4394,125742
53C700 AND 53C700-66 SCSI DRIVER,LASI 53c700 driver for PARISC,4394,125742
53C700 AND 53C700-66 SCSI DRIVER,SCSI SUBSYSTEM,4394,125742
53C700 AND 53C700-66 SCSI DRIVER,THE REST,4394,125742
6LOWPAN GENERIC (BTLE/IEEE 802.15.4),6LOWPAN GENERIC (BTLE/IEEE 802.15.4),1158,33747
6LOWPAN GENERIC (BTLE/IEEE 802.15.4),NETWORKING [GENERAL],1158,33747
6LOWPAN GENERIC (BTLE/IEEE 802.15.4),THE REST,1158,33747
6PACK NETWORK DRIVER FOR AX.25,6PACK NETWORK DRIVER FOR AX.25,1038,25198
6PACK NETWORK DRIVER FOR AX.25,NETWORKING DRIVERS,1038,25198
6PACK NETWORK DRIVER FOR AX.25,THE REST,1038,25198
8169 10/100/1000 GIGABIT ETHERNET DRIVER,8169 10/100/1000 GIGABIT ETHERNET DRIVER,8383,210391
8169 10/100/1000 GIGABIT ETHERNET DRIVER,NETWORKING DRIVERS,8383,210391
8169 10/100/1000 GIGABIT ETHERNET DRIVER,THE REST,8383,210391
8250/16?50 (AND CLONE UARTS) SERIAL DRIVER,8250/16?50 (AND CLONE UARTS) SERIAL DRIVER,139,4686
8250/16?50 (AND CLONE UARTS) SERIAL DRIVER,THE REST,139,4686
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]","8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",13021,386838
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",ARM/RISCPC ARCHITECTURE,874,20690
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",NETWORKING DRIVERS,13021,386838
"8390 NETWORK DRIVERS [WD80x3/SMC-ELITE, SMC-ULTRA, NE2000, 3C503, etc.]",THE REST,13021,386838
9P FILE SYSTEM,9P FILE SYSTEM,15006,375666
9P FILE SYSTEM,ABI/API,44,2041
9P FILE SYSTEM,DOCUMENTATION,161,5877
9P FILE SYSTEM,NETWORKING [GENERAL],7210,179042
9P FILE SYSTEM,THE REST,15006,375666
9P FILE SYSTEM,TRACING,154,4769
9P FILE SYSTEM,"VIRTIO CORE, NET AND BLOCK DRIVERS",44,2041
A8293 MEDIA DRIVER,A8293 MEDIA DRIVER,211,5072
A8293 MEDIA DRIVER,MEDIA INPUT INFRASTRUCTURE (V4L/DVB),211,5072
A8293 MEDIA DRIVER,THE REST,211,5072
AACRAID SCSI RAID DRIVER,AACRAID SCSI RAID DRIVER,12673,368242
AACRAID SCSI RAID DRIVER,DOCUMENTATION,150,6849
AACRAID SCSI RAID DRIVER,SCSI SUBSYSTEM,12523,361393
AACRAID SCSI RAID DRIVER,THE REST,12673,368242
ABI/API,ABI/API,125505,4088467
ABI/API,ACPI,58,1983
ABI/API,AGPGART DRIVER,113,3981
ABI/API,AMD KFD,154,4843
ABI/API,APM DRIVER,137,3634
ABI/API,ARM/Allwinner A1X SoC support,22,1032
ABI/API,ARM/CORESIGHT FRAMEWORK AND DRIVERS,297,12224
ABI/API,ARM/SAMSUNG EXYNOS ARM ARCHITECTURES,350,8577
ABI/API,ATM,1400,42905
ABI/API,AUDIT SUBSYSTEM,460,18268
ABI/API,AX.25 NETWORK LAYER,116,2761
ABI/API,BFS FILE SYSTEM,81,1830
ABI/API,BONDING DRIVER,130,4204
ABI/API,BSG (block layer generic sg v4 driver),66,2446
ABI/API,CAIF NETWORK LAYER,231,6821
ABI/API,CAN NETWORK DRIVERS,258,10197
ABI/API,CAN NETWORK LAYER,557,21328
ABI/API,CAPABILITIES,367,11408
ABI/API,CFG80211 and NL80211,4415,184364
ABI/API,CODA FILE SYSTEM,768,18417
ABI/API,CX18 VIDEO4LINUX DRIVER,110,4176
