release,date
2016-04-krogoth,2016-04-19
2016-4,2016-04-19
yocto-2.1,2016-04-19
uninative-1.0,2016-05-16
uninative-1.3,2016-08-11
uninative-1.4,2016-09-23
2016-10,2016-10-26
2016-10-morty,2016-10-26
yocto-2.2,2016-10-26
uninative-1.5,2017-03-07
uninative-1.6,2017-03-27
2017-04,2017-05-01
2017-04-pyro,2017-05-01
yocto-2.3,2017-05-01
uninative-1.7,2017-07-27
2017-10,2017-10-16
2017-10-rocko,2017-10-16
yocto-2.4,2017-10-16
uninative-1.8,2018-03-09
uninative-1.9,2018-04-09
2018-04,2018-04-23
2018-04-sumo,2018-04-23
yocto-2.5,2018-04-23
uninative-2.0,2018-05-15
uninative-2.1,2018-06-11
uninative-2.2,2018-07-25
uninative-2.3,2018-10-21
2018-10,2018-10-29
2018-10-thud,2018-10-29
yocto-2.6,2018-10-29
uninative-2.4,2019-03-19
2019-04,2019-04-14
2019-04-warrior,2019-04-14
yocto-2.7,2019-04-14
uninative-2.5,2019-05-29
uninative-2.6,2019-06-20
uninative-2.7,2019-10-02
2019-10,2019-10-09
2019-10-zeus,2019-10-09
yocto-3.0,2019-10-09
2018-10.4-thud,2019-10-17
2019-04.2-warrior,2019-10-30
2019-10.1-zeus,2019-11-27
2019-10.2-zeus,2020-02-19
2019-04.3-warrior,2020-02-21
uninative-2.8,2020-02-28
2020-04,2020-04-07
2020-04-dunfell,2020-04-07
yocto-3.1,2020-04-07
2019-10.3-zeus,2020-05-14
2019-04.4-warrior,2020-05-27
2020-04.1-dunfell,2020-06-08
2020-04.2-dunfell,2020-07-23
2019-10.4-zeus,2020-08-14
uninative-2.9,2020-08-21
2020-04.3-dunfell,2020-09-23
2020-10,2020-10-26
2020-10-gatesgarth,2020-10-26
yocto-3.2,2020-10-26
2020-04.4-dunfell,2020-11-25
2020-10.1,2020-12-07
2020-10.1-gatesgarth,2020-12-07
yocto-3.2.1,2020-12-07
2020-04.5-dunfell,2021-01-08
uninative-2.10,2021-02-05
uninative-2.11,2021-02-05
uninative-3.0,2021-02-12
2020-10.2,2021-02-16
2020-10.2-gatesgarth,2021-02-16
2020-04.6-dunfell,2021-02-18
2020-10.3,2021-03-28
2020-10.3-gatesgarth,2021-03-28
2021-04,2021-04-06
2021-04-hardknott,2021-04-06
yocto-3.3,2021-04-06
2020-04.7,2021-04-13
2020-04.7-dunfell,2021-04-13
yocto-3.1.7,2021-04-13
uninative-3.1,2021-05-02
2020-10.4,2021-05-06
2020-10.4-gatesgarth,2021-05-06
yocto-3.2.4,2021-05-06
2021-04.1,2021-05-17
2021-04.1-hardknott,2021-05-17
yocto-3.3.1,2021-05-17
uninative-3.2,2021-05-18
2020-04.8,2021-05-24
2020-04.8-dunfell,2021-05-24
yocto-3.1.8,2021-05-24
2020-04.9,2021-06-19
2020-04.9-dunfell,2021-06-19
yocto-3.1.9,2021-06-19
2021-04.2,2021-07-14
2021-04.2-hardknott,2021-07-14
yocto-3.3.2,2021-07-14
2020-04.10,2021-07-20
2020-04.10-dunfell,2021-07-20
yocto-3.1.10,2021-07-20
uninative-3.3,2021-08-16
uninative-3.4,2021-08-31
