"c_representative","c_section","c_size"
"AMD IOMMU","AMD IOMMU",5571
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE",12813
"CPU POOLS","CPU POOLS",682
"DEVICE TREE","DEVICE TREE",3582
"INTEL(R) VT FOR DIRECTED I/O (VT-D)","INTEL(R) VT FOR DIRECTED I/O (VT-D)",6520
"LINUX (PV_OPS)","LINUX (PV_OPS)",0
"LINUX (XCP)","LINUX (XCP)",0
"MINI-OS","MINI-OS",25047
"QEMU UPSTREAM","QEMU UPSTREAM",0
"QEMU-DM","QEMU-DM",0
"SCHEDULING","SCHEDULING",7556
"SEABIOS UPSTREAM","SEABIOS UPSTREAM",0
"STUB DOMAINS","STUB DOMAINS",15623
"TOOLSTACK","GDBSX DEBUGGER",2894
"TOOLSTACK","KDD DEBUGGER",2212
"TOOLSTACK","REMUS",6059
"TOOLSTACK","TOOLSTACK",421431
"TOOLSTACK","XENTRACE",3667
"TRANSCENDENT MEMORY (TMEM)","TRANSCENDENT MEMORY (TMEM)",4817
"UNMODIFIED LINUX PV DRIVERS","UNMODIFIED LINUX PV DRIVERS",1745
"USB PV DRIVERS","USB PV DRIVERS",0
"X86 ARCHITECTURE","ACPI & POWER MANAGEMENT",11467
"X86 ARCHITECTURE","AMD SVM",5663
"X86 ARCHITECTURE","EFI",5466
"X86 ARCHITECTURE","INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT)",699
"X86 ARCHITECTURE","INTEL(R) VT FOR X86 (VT-X)",8328
"X86 ARCHITECTURE","MACHINE CHECK (MCA) & RAS",5573
"X86 ARCHITECTURE","X86 ARCHITECTURE",144672
"X86 ARCHITECTURE","X86 MEMORY MANAGEMENT",20981
