"c_representative","c_section","c_size"
"AMD IOMMU","AMD IOMMU",6546
"ARGO","ARGO",2665
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE",73418
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","LIVEPATCH",5907
"ARM (W/ VIRTUALISATION EXTENSIONS) ARCHITECTURE","TEE MEDIATORS",3127
"Continuous Integration (CI)","Continuous Integration (CI)",2020
"CPU POOLS","CPU POOLS",980
"DEVICE TREE","DEVICE TREE",6860
"INTEL(R) VT FOR DIRECTED I/O (VT-D)","INTEL(R) VT FOR DIRECTED I/O (VT-D)",7355
"IOMMU VENDOR INDEPENDENT CODE","IOMMU VENDOR INDEPENDENT CODE",4330
"KCONFIG","KCONFIG",24439
"MINI-OS","MINI-OS",10
"OVMF UPSTREAM","OVMF UPSTREAM",0
"PUBLIC I/O INTERFACES AND PV DRIVERS DESIGNS","PUBLIC I/O INTERFACES AND PV DRIVERS DESIGNS",8049
"QEMU UPSTREAM","QEMU UPSTREAM",0
"QEMU-DM","QEMU-DM",0
"SCHEDULING","ARINC653 SCHEDULER",826
"SCHEDULING","RTDS SCHEDULER",1571
"SCHEDULING","SCHEDULING",12891
"SEABIOS UPSTREAM","SEABIOS UPSTREAM",0
"STUB DOMAINS","STUB DOMAINS",34053
"STUB DOMAINS","VTPM",12797
"TOOLSTACK","GDBSX DEBUGGER",2885
"TOOLSTACK","GOLANG BINDINGS",1279
"TOOLSTACK","KDD DEBUGGER",2221
"TOOLSTACK","LIBXENLIGHT",71970
"TOOLSTACK","OCAML TOOLS",12744
"TOOLSTACK","PYTHON BINDINGS",7419
"TOOLSTACK","REMUS",1154
"TOOLSTACK","TOOLSTACK",322458
"TOOLSTACK","XENTRACE",15375
"TOOLSTACK","XSM/FLASK",16911
"UNMODIFIED LINUX PV DRIVERS","UNMODIFIED LINUX PV DRIVERS",1784
"X86 ARCHITECTURE","ACPI",21449
"X86 ARCHITECTURE","AMD SVM",6471
"X86 ARCHITECTURE","EFI",6874
"X86 ARCHITECTURE","INTEL(R) TRUSTED EXECUTION TECHNOLOGY (TXT)",715
"X86 ARCHITECTURE","INTEL(R) VT FOR X86 (VT-X)",14090
"X86 ARCHITECTURE","KEXEC",411
"X86 ARCHITECTURE","POWER MANAGEMENT",5725
"X86 ARCHITECTURE","VM EVENT, MEM ACCESS and MONITOR",5458
"X86 ARCHITECTURE","X86 ARCHITECTURE",244054
"X86 ARCHITECTURE","X86 I/O EMULATION",5849
"X86 ARCHITECTURE","X86 MEMORY MANAGEMENT",23506
"X86 ARCHITECTURE","X86 MEMORY PAGING",87
"X86 ARCHITECTURE","X86 MEMORY SHARING",4022
"X86 ARCHITECTURE","X86 SHADOW PAGETABLES",10577
"X86 ARCHITECTURE","X86 VIRIDIAN ENLIGHTENMENTS",2353
