release,date
4.1.0-branched,2011-03-03
RELEASE-4.1.0,2011-03-25
RELEASE-4.1.1,2011-06-14
RELEASE-4.0.2,2011-06-14
RELEASE-4.0.3,2011-10-20
RELEASE-4.1.2,2011-10-20
RELEASE-4.0.4,2012-08-09
RELEASE-4.1.3,2012-08-09
4.2.0-branched,2012-09-07
RELEASE-4.2.0,2012-09-17
RELEASE-4.2.1,2012-12-17
RELEASE-4.1.4,2012-12-18
RELEASE-4.2.2,2013-04-24
RELEASE-4.1.5,2013-04-24
RELEASE-4.3.0,2013-07-09
RELEASE-4.2.3,2013-09-09
RELEASE-4.1.6,2013-09-09
RELEASE-4.1.6.1,2013-09-10
RELEASE-4.3.1,2013-10-30
RELEASE-4.2.4,2014-02-14
RELEASE-4.3.2,2014-02-14
RELEASE-4.4.0,2014-03-10
RELEASE-4.4.1,2014-09-02
RELEASE-4.3.3,2014-09-02
RELEASE-4.2.5,2014-09-02
RELEASE-4.5.0,2015-01-15
RELEASE-4.4.2,2015-03-19
RELEASE-4.3.4,2015-03-19
RELEASE-4.5.1,2015-06-22
RELEASE-4.4.3,2015-08-24
RELEASE-4.6.0,2015-10-07
RELEASE-4.5.2,2015-11-03
RELEASE-4.4.4,2016-01-21
RELEASE-4.6.1,2016-02-10
RELEASE-4.5.3,2016-03-23
RELEASE-4.7.0,2016-06-20
RELEASE-4.6.3,2016-06-20
RELEASE-4.5.4,2016-09-19
RELEASE-4.5.5,2016-09-20
RELEASE-4.7.1,2016-11-04
RELEASE-4.6.4,2016-11-04
RELEASE-4.8.0,2016-12-05
RELEASE-4.6.5,2017-03-07
RELEASE-4.7.2,2017-03-07
RELEASE-4.8.1,2017-04-10
RELEASE-4.9.0,2017-06-27
RELEASE-4.7.3,2017-07-06
RELEASE-4.6.6,2017-07-06
RELEASE-4.8.2,2017-09-06
RELEASE-4.9.1,2017-11-20
RELEASE-4.7.4,2017-11-20
RELEASE-4.10.0,2017-12-13
4.9.1-shim-vixen-1,2018-01-11
4.10.0-shim-comet-1.1,2018-01-12
4.10.0-shim-comet-2,2018-01-16
4.8.3pre-shim-comet-2,2018-01-16
4.10.0-shim-comet-3,2018-01-17
RELEASE-4.8.3,2018-01-23
RELEASE-4.7.5,2018-03-28
RELEASE-4.9.2,2018-03-28
RELEASE-4.10.1,2018-05-02
RELEASE-4.7.6,2018-07-09
RELEASE-4.11.0,2018-07-09
RELEASE-4.8.4,2018-07-12
RELEASE-4.9.3,2018-09-25
RELEASE-4.10.2,2018-09-25
RELEASE-4.11.1,2018-11-29
RELEASE-4.8.5,2018-12-10
RELEASE-4.10.3,2019-02-14
RELEASE-4.9.4,2019-02-14
RELEASE-4.12.0,2019-04-01
RELEASE-4.11.2,2019-06-25
RELEASE-4.10.4,2019-07-03
RELEASE-4.12.1,2019-08-09
RELEASE-4.11.3,2019-11-29
RELEASE-4.13.0,2019-12-17
RELEASE-4.12.2,2019-12-20
RELEASE-4.11.4,2020-04-20
RELEASE-4.13.1,2020-05-18
RELEASE-4.12.3,2020-05-18
RELEASE-4.14.0,2020-07-23
RELEASE-4.13.2,2020-10-30
RELEASE-4.12.4,2020-11-02
RELEASE-4.14.1,2020-12-17
RELEASE-4.13.3,2021-03-22
RELEASE-4.15.0,2021-04-07
RELEASE-4.14.2,2021-04-27
