release,date
v2014.10,2014-10-14
v2015.01,2015-01-12
v2015.04,2015-04-13
v2015.07,2015-07-14
v2015.10,2015-10-19
v2016.01,2016-01-12
v2016.03,2016-03-14
v2016.05,2016-05-16
v2016.07,2016-07-11
v2016.09,2016-09-12
v2016.09.01,2016-09-19
v2016.11,2016-11-14
v2017.01,2017-01-09
v2017.03,2017-03-13
v2017.05,2017-05-08
v2017.07,2017-07-10
v2017.09,2017-09-11
v2017.11,2017-11-13
v2018.01,2018-01-08
v2018.03,2018-03-13
v2018.05,2018-05-07
v2018.07,2018-07-09
v2018.09,2018-09-10
v2018.11,2018-11-14
v2019.01,2019-01-14
v2019.04,2019-04-08
v2019.07,2019-07-08
v2019.10,2019-10-07
v2020.01,2020-01-06
v2020.04,2020-04-13
v2020.07,2020-07-06
v2020.10,2020-10-05
v2021.01,2021-01-11
v2021.04,2021-04-05
v2021.07,2021-07-05
