"c_representative","c_section","c_size"
"ACPI:","ACPI:",3273
"ANDROID AB","ANDROID AB",629
"ANDROID AVB","ANDROID AVB",9062
"APPLE M1 SOC SUPPORT","APPLE M1 SOC SUPPORT",3002
"ARC","ARC",7368
"ARC HSDK CGU CLOCK","ARC HSDK CGU CLOCK",858
"ARC HSDK CREG GPIO","ARC HSDK CREG GPIO",212
"ARC HSDK RESET","ARC HSDK RESET",127
"ARC SYNOPSYS DW MMC EXTENSIONS","ARC SYNOPSYS DW MMC EXTENSIONS",228
"ARM","ARM",1120602
"ARM","ARM ALTERA SOCFPGA",11759
"ARM","ARM AMLOGIC SOC SUPPORT",56713
"ARM","ARM BROADCOM BCM283X / BCM27XX",8049
"ARM","ARM BROADCOM BCMBCA",5343
"ARM","ARM FREESCALE IMX",274742
"ARM","ARM HISILICON",1301
"ARM","ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K",61920
"ARM","ARM MICROCHIP/ATMEL AT91",41721
"ARM","ARM MSC SM2S IMX8MP SOM",3245
"ARM","ARM NEXELL S5P4418",17312
"ARM","ARM OWL",953
"ARM","ARM ROCKCHIP",187221
"ARM","ARM SAMSUNG",19340
"ARM","ARM STM STM32MP",70926
"ARM","ARM STM STV0991",720
"ARM","ARM SUNXI",28935
"ARM","ARM TEGRA",67660
"ARM","ARM TI",190245
"ARM","ARM U8500",2919
"ARM","ARM UNIPHIER",21967
"ARM","ARM VERSATILE EXPRESS DRIVERS",2466
"ARM","MALI DISPLAY PROCESSORS",679
"ARM","OUT4-IMX6ULL-NANO BOARD",915
"ARM","POWER",32080
"ARM","TARGET_BCMNS3",4140
"ARM","TI SYSTEM SECURITY",1996
"ARM","UBI",16461
"ARM","VIDEO",91282
"ARM FF-A","ARM FF-A",3315
"ARM LAYERSCAPE SFP","ARM LAYERSCAPE SFP",349
"ARM MARVELL PCIE CONTROLLER DRIVERS","ARM MARVELL PCIE CONTROLLER DRIVERS",1844
