"c_representative","c_section","c_size"
"ARC","ARC",3860
"ARC HSDK CGU CLOCK","ARC HSDK CGU CLOCK",798
"ARC HSDK CREG GPIO","ARC HSDK CREG GPIO",110
"ARM","ARM",529626
"ARM","ARM ALTERA SOCFPGA",7645
"ARM","ARM ATMEL AT91",10073
"ARM","ARM FREESCALE IMX",77999
"ARM","ARM HISILICON",192
"ARM","ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X",10607
"ARM","ARM MARVELL PXA",4138
"ARM","ARM RENESAS RMOBILE/R-CAR",20731
"ARM","ARM ROCKCHIP",33464
"ARM","ARM SAMSUNG",19142
"ARM","ARM SNAPDRAGON",529
"ARM","ARM STM SPEAR",2406
"ARM","ARM STM STV0991",734
"ARM","ARM SUNXI",16178
"ARM","ARM TEGRA",26439
"ARM","ARM TI",16105
"ARM","ARM UNIPHIER",18720
"ARM","ARM ZYNQMP",1319
"ARM","I2C",18296
"ARM","TI SYSTEM SECURITY",1119
"ARM STI","ARM STI",111
"ARM ZYNQ","ARM ZYNQ",0
"BUILDMAN","BUILDMAN",9059
"CFI FLASH","CFI FLASH",2997
"COLDFIRE","COLDFIRE",23116
"DRIVER MODEL","DRIVER MODEL",16347
"EFI PAYLOAD","EFI PAYLOAD",16676
"FLATTENED DEVICE TREE","FLATTENED DEVICE TREE",7527
"FREEBSD","FREEBSD",0
"FREESCALE QORIQ","FREESCALE QORIQ",0
"LOGGING","LOGGING",789
"MICROBLAZE","MICROBLAZE",2591
"MIPS","MIPS",20385
"MMC","ARM BROADCOM BCM283X",3225
"MMC","MMC",22554
"NAND FLASH","NAND FLASH",31790
"NDS32","NDS32",4422
"NETWORK","NETWORK",100346
"NIOS","NIOS",3387
"ONENAND","ONENAND",3902
"PATMAN","PATMAN",4461
"POWER","POWER",14309
"POWERPC","POWERPC",45002
"POWERPC","POWERPC MPC83XX",5507
"POWERPC","POWERPC MPC85XX",16738
"POWERPC","POWERPC MPC86XX",2756
"POWERPC","POWERPC MPC8XX",2209
"POWERPC PPC4XX","POWERPC PPC4XX",0
"RISC-V","RISC-V",2777
"SANDBOX","SANDBOX",5292
"SH","SH",8564
"SPI","SPI",23972
"SPMI","SPMI",476
"TQ GROUP","TQ GROUP",0
"UBI","UBI",16361
"USB","DFU",30245
"USB","ROCKUSB",843
"USB","USB",88082
"USB","USB xHCI",6975
"VIDEO","VIDEO",47330
"X86","X86",77337
"XTENSA","XTENSA",5599
