"c_representative","c_section","c_size"
"ANDROID AB","ANDROID AB",543
"ANDROID AVB","ANDROID AVB",9057
"ARC","ARC",7427
"ARC HSDK CGU CLOCK","ARC HSDK CGU CLOCK",857
"ARC HSDK CREG GPIO","ARC HSDK CREG GPIO",212
"ARC HSDK RESET","ARC HSDK RESET",135
"ARC SYNOPSYS DW MMC EXTENSIONS","ARC SYNOPSYS DW MMC EXTENSIONS",233
"ARM","ARM",869494
"ARM","ARM ALTERA SOCFPGA",11078
"ARM","ARM BROADCOM BCM283X / BCM27XX",7439
"ARM","ARM FREESCALE IMX",192063
"ARM","ARM HISILICON",1198
"ARM","ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K",47503
"ARM","ARM MARVELL PXA",4125
"ARM","ARM MICROCHIP/ATMEL AT91",16085
"ARM","ARM RENESAS RMOBILE/R-CAR",10557
"ARM","ARM SAMSUNG",19210
"ARM","ARM SNAPDRAGON",2852
"ARM","ARM STM SPEAR",2424
"ARM","ARM STM STM32MP",58341
"ARM","ARM SUNXI",20250
"ARM","ARM TEGRA",27232
"ARM","ARM TI",68619
"ARM","ARM U8500",2004
"ARM","ARM UNIPHIER",20757
"ARM","TARGET_BCMNS3",3800
"ARM","TI SYSTEM SECURITY",2354
"ARM","UBI",16469
"ARM CORTINA ACCESS CAxxxx","ARM CORTINA ACCESS CAxxxx",5259
"ARM CORTINA ACCESS CAxxxx","MIPS CORTINA ACCESS CAxxxx",3543
"ARM PHYTIUM","ARM PHYTIUM",233
"ARM STM STV0991","ARM STM STV0991",722
"ARM VERSATILE EXPRESS DRIVERS","ARM VERSATILE EXPRESS DRIVERS",1224
"ARM/CZ.NIC TURRIS MOX SUPPORT","ARM/CZ.NIC TURRIS MOX SUPPORT",2090
"BINMAN","BINMAN",21110
"BTRFS","BTRFS",9559
"BUILDMAN","BUILDMAN",13630
"CFI FLASH","CFI FLASH",3023
"CLOCK","ARM AMLOGIC SOC SUPPORT",43807
"CLOCK","ARM ASPEED",5588
"CLOCK","ARM MEDIATEK",27092
"CLOCK","ARM OWL",846
"CLOCK","ARM ROCKCHIP",50091
"CLOCK","ARM STI",1964
"CLOCK","CLOCK",59891
"CLOCK","I2C",23313
"CLOCK","MMC",37924
"CLOCK","POWER",22569
"COLDFIRE","COLDFIRE",25592
"DRIVER MODEL","DRIVER MODEL",33591
"EFI PAYLOAD","EFI PAYLOAD",52025
"EFI PAYLOAD","EFI VARIABLES VIA OP-TEE",996
"ENVIRONMENT","ENVIRONMENT",7424
"FLATTENED DEVICE TREE","FLATTENED DEVICE TREE",7292
"FREEBSD","FREEBSD",0
"FREESCALE QORIQ","FREESCALE QORIQ",281
"LOGGING","LOGGING",3372
"MIPS","MIPS",163883
"MIPS","MIPS JZ4780",1940
"MIPS","MIPS MEDIATEK",6407
"MIPS","MIPS Octeon",130581
"NDS32","NDS32",4288
"NETWORK","ARM BROADCOM BCMSTB",1050
"NETWORK","ARM IPQ40XX",1941
"NETWORK","ARM VERSAL",2686
"NETWORK","ARM ZYNQ",126507
"NETWORK","ARM ZYNQMP",49866
"NETWORK","ARM ZYNQMP R5",67
"NETWORK","FPGA",9896
"NETWORK","MICROBLAZE",101258
"NETWORK","MIPS MSCC",13932
"NETWORK","NAND FLASH",42932
"NETWORK","NETWORK",143152
"NETWORK","SPI",30652
"NIOS","NIOS",3372
"ONENAND","ONENAND",3902
"PATMAN","PATMAN",7978
"PCI Endpoint","PCI Endpoint",1348
"PCI MPC85xx","PCI MPC85xx",162
"POWERPC","POWERPC",66016
"POWERPC","POWERPC MPC83XX",17556
"POWERPC","POWERPC MPC85XX",15957
"POWERPC","POWERPC MPC86XX",2752
"POWERPC","POWERPC MPC8XX",2154
"RISC-V","RISC-V",10688
"RISC-V KENDRYTE","RISC-V KENDRYTE",1798
"RNG","RNG",1192
"SANDBOX","SANDBOX",9335
"SH","SH",6958
"SPI-NOR","SPI-NOR",6676
"SPMI","SPMI",469
"SQUASHFS","SQUASHFS",2775
"STACKPROTECTOR","STACKPROTECTOR",60
"TDA19988 HDMI ENCODER","TDA19988 HDMI ENCODER",655
"TEE","TEE",3938
"TEE-lib","TEE-lib",244
"TQ GROUP","TQ GROUP",0
"UFS","UFS",3408
"USB","DFU",36630
"USB","ROCKUSB",1064
"USB","USB",107302
"USB","USB xHCI",6881
"VIDEO","ARM NEXELL S5P4418",17234
"VIDEO","MALI DISPLAY PROCESSORS",686
"VIDEO","VIDEO",82068
"VirtIO","VirtIO",5186
"X86","X86",101619
"XEN","XEN",7053
"XTENSA","XTENSA",5495
