"c_representative","c_section","c_size"
"ARC","ARC",3797
"ARM","ARM",495579
"ARM","ARM ALTERA SOCFPGA",7506
"ARM","ARM ATMEL AT91",9849
"ARM","ARM BROADCOM BCM283X",1989
"ARM","ARM FREESCALE IMX",72241
"ARM","ARM HISILICON",192
"ARM","ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X",10460
"ARM","ARM MARVELL PXA",4167
"ARM","ARM RENESAS RMOBILE/R-CAR",32961
"ARM","ARM ROCKCHIP",8097
"ARM","ARM SAMSUNG",19136
"ARM","ARM SNAPDRAGON",351
"ARM","ARM STI",99
"ARM","ARM STM SPEAR",1981
"ARM","ARM STM STV0991",734
"ARM","ARM SUNXI",16027
"ARM","ARM TEGRA",26005
"ARM","ARM TI",16314
"ARM","ARM UNIPHIER",21535
"ARM","ARM ZYNQMP",1169
"ARM","DRIVER MODEL",15523
"ARM","I2C",17088
"ARM","MMC",18167
"ARM","TI SYSTEM SECURITY",1030
"ARM","VIDEO",45775
"ARM ZYNQ","ARM ZYNQ",0
"BUILDMAN","BUILDMAN",8967
"CFI FLASH","CFI FLASH",2974
"COLDFIRE","COLDFIRE",23271
"EFI PAYLOAD","EFI PAYLOAD",3841
"FLATTENED DEVICE TREE","FLATTENED DEVICE TREE",11639
"FREEBSD","FREEBSD",0
"FREESCALE QORIQ","FREESCALE QORIQ",0
"MICROBLAZE","MICROBLAZE",2614
"MIPS","MIPS",19620
"NAND FLASH","NAND FLASH",31029
"NDS32","NDS32",4364
"NETWORK","NETWORK",97791
"NIOS","NIOS",3385
"ONENAND","ONENAND",3901
"PATMAN","PATMAN",4392
"POWER","POWER",12533
"POWERPC","POWERPC",45386
"POWERPC","POWERPC MPC83XX",5543
"POWERPC","POWERPC MPC85XX",16866
"POWERPC","POWERPC MPC86XX",2776
"POWERPC","POWERPC MPC8XX",2316
"POWERPC MPC82XX","POWERPC MPC82XX",0
"POWERPC PPC4XX","POWERPC PPC4XX",0
"SANDBOX","SANDBOX",5122
"SH","SH",8578
"SPI","SPI",22500
"SPMI","SPMI",464
"TQ GROUP","TQ GROUP",0
"UBI","UBI",16366
"USB","DFU",28676
"USB","USB",84665
"X86","X86",62481
"XTENSA","XTENSA",5620
