"c_representative","c_section","c_size"
"ARC","ARC",3230
"ARM","ARM",222878
"ARM","ARM ALTERA SOCFPGA",3937
"ARM","ARM ATMEL AT91",8735
"ARM","ARM FREESCALE IMX",34746
"ARM","ARM MARVELL KIRKWOOD",1290
"ARM","ARM MARVELL PXA",4111
"ARM","ARM SAMSUNG",20874
"ARM","ARM STM SPEAR",2123
"ARM","ARM STM STV0991",701
"ARM","ARM SUNXI",7181
"ARM","ARM TEGRA",19917
"ARM","ARM TI",18227
"ARM","ARM UNIPHIER",6941
"ARM","ARM ZYNQ",1705
"ARM","ARM ZYNQMP",166
"ARM","I2C",13082
"AVR32","AVR32",4625
"BLACKFIN","BLACKFIN",68499
"BUILDMAN","BUILDMAN",8578
"CFI FLASH","CFI FLASH",2893
"COLDFIRE","COLDFIRE",23019
"DRIVER MODEL","DRIVER MODEL",5947
"FLATTENED DEVICE TREE","FLATTENED DEVICE TREE",8695
"FREEBSD","FREEBSD",0
"FREESCALE QORIQ","FREESCALE QORIQ",0
"MICROBLAZE","MICROBLAZE",2579
"MIPS","MIPS",11244
"MMC","MMC",13303
"NAND FLASH","NAND FLASH",25556
"NDS32","NDS32",4745
"NETWORK","NETWORK",68562
"NIOS","NIOS",3057
"ONENAND","ONENAND",3816
"OPENRISC","OPENRISC",2498
"PATMAN","PATMAN",3511
"POWERPC","POWERPC",101171
"POWERPC","POWERPC MPC5XXX",10747
"POWERPC","POWERPC MPC82XX",6809
"POWERPC","POWERPC MPC83XX",5522
"POWERPC","POWERPC MPC85XX",15570
"POWERPC","POWERPC MPC86XX",2774
"POWERPC","POWERPC MPC8XX",7681
"POWERPC","POWERPC PPC4XX",21146
"SANDBOX","SANDBOX",3054
"SH","SH",9042
"SPARC","SPARC",9530
"SPI","SPI",17537
"TESTING","TESTING",0
"TQ GROUP","TQ GROUP",0
"UBI","UBI",15754
"USB","DFU",27020
"USB","USB",68309
"VIDEO","VIDEO",26302
"X86","X86",32482
