"c_representative","c_section","c_size"
"ANDROID AB","ANDROID AB",542
"ANDROID AVB","ANDROID AVB",9057
"ARC","ARC",7419
"ARC HSDK CREG GPIO","ARC HSDK CREG GPIO",212
"ARC HSDK RESET","ARC HSDK RESET",135
"ARC SYNOPSYS DW MMC EXTENSIONS","ARC SYNOPSYS DW MMC EXTENSIONS",233
"ARM","ARM",794043
"ARM","ARM ALTERA SOCFPGA",10111
"ARM","ARM AMLOGIC SOC SUPPORT",38813
"ARM","ARM ASPEED",2118
"ARM","ARM BROADCOM BCM283X",6981
"ARM","ARM FREESCALE IMX",164741
"ARM","ARM HISILICON",1198
"ARM","ARM MARVELL KIRKWOOD ARMADA-XP ARMADA-38X ARMADA-37XX ARMADA-7K/8K",47520
"ARM","ARM MARVELL PXA",4125
"ARM","ARM MICROCHIP/ATMEL AT91",15577
"ARM","ARM RENESAS RMOBILE/R-CAR",10435
"ARM","ARM SAMSUNG",19209
"ARM","ARM SNAPDRAGON",2844
"ARM","ARM STM SPEAR",2422
"ARM","ARM STM STV0991",721
"ARM","ARM SUNXI",18363
"ARM","ARM TEGRA",27227
"ARM","ARM TI",68380
"ARM","ARM U8500",2006
"ARM","ARM UNIPHIER",20755
"ARM","ARM VERSATILE EXPRESS DRIVERS",3946
"ARM","TARGET_BCMNS3",3575
"ARM","TI SYSTEM SECURITY",2370
"ARM CORTINA ACCESS CAxxxx","ARM CORTINA ACCESS CAxxxx",1326
"ARM CORTINA ACCESS CAxxxx","MIPS CORTINA ACCESS CAxxxx",1326
"ARM IPQ40XX","ARM IPQ40XX",312
"ARM PHYTIUM","ARM PHYTIUM",232
"ARM ROCKCHIP","ARC HSDK CGU CLOCK",857
"ARM ROCKCHIP","ARM MEDIATEK",20679
"ARM ROCKCHIP","ARM OWL",845
"ARM ROCKCHIP","ARM ROCKCHIP",49861
"ARM ROCKCHIP","ARM STM STM32MP",24660
"ARM ROCKCHIP","CLOCK",49226
"ARM ROCKCHIP","MMC",36329
"ARM ROCKCHIP","POWER",21926
"ARM ROCKCHIP","RISC-V KENDRYTE",1713
"ARM/CZ.NIC TURRIS MOX SUPPORT","ARM/CZ.NIC TURRIS MOX SUPPORT",2084
"BINMAN","BINMAN",17529
"BTRFS","BTRFS",3511
"BUILDMAN","BUILDMAN",13464
"CFI FLASH","CFI FLASH",3005
"COLDFIRE","COLDFIRE",25570
"DRIVER MODEL","DRIVER MODEL",32472
"EFI PAYLOAD","EFI PAYLOAD",43869
"EFI PAYLOAD","EFI VARIABLES VIA OP-TEE",986
"ENVIRONMENT","ENVIRONMENT",7076
"FLATTENED DEVICE TREE","FLATTENED DEVICE TREE",7161
"FREEBSD","FREEBSD",0
"FREESCALE QORIQ","FREESCALE QORIQ",279
"LOGGING","LOGGING",1749
"MIPS","MIPS",32054
"MIPS","MIPS JZ4780",1939
"MIPS","MIPS MSCC",13475
"MIPS","MIPS Octeon",460
"NDS32","NDS32",4310
"NETWORK","ARM BROADCOM BCMSTB",1048
"NETWORK","ARM VERSAL",2438
"NETWORK","ARM ZYNQ",117136
"NETWORK","ARM ZYNQMP",40598
"NETWORK","ARM ZYNQMP R5",69
"NETWORK","FPGA",9751
"NETWORK","MICROBLAZE",95618
"NETWORK","NAND FLASH",38203
"NETWORK","NETWORK",123869
"NETWORK","SPI",27879
"NIOS","NIOS",3367
"ONENAND","ONENAND",3901
"PATMAN","PATMAN",6024
"PCI Endpoint","PCI Endpoint",1344
"PCI MPC85xx","PCI MPC85xx",159
"POWERPC","POWERPC",60989
"POWERPC","POWERPC MPC83XX",17517
"POWERPC","POWERPC MPC85XX",16639
"POWERPC","POWERPC MPC86XX",2757
"POWERPC","POWERPC MPC8XX",2150
"RISC-V","RISC-V",9409
"RNG","RNG",846
"SANDBOX","SANDBOX",7638
"SH","SH",7313
"SPI-NOR","SPI-NOR",6566
"SPMI","SPMI",468
"SQUASHFS","SQUASHFS",2597
"TEE","TEE",3544
"TEE-lib","TEE-lib",252
"TQ GROUP","TQ GROUP",0
"UBI","UBI",16469
"UFS","UFS",3408
"USB","ARM STI",1958
"USB","DFU",34362
"USB","ROCKUSB",1063
"USB","USB",99595
"USB","USB xHCI",6844
"VIDEO","ARM NEXELL S5P4418",17383
"VIDEO","I2C",22413
"VIDEO","MALI DISPLAY PROCESSORS",690
"VIDEO","TDA19988 HDMI ENCODER",655
"VIDEO","VIDEO",81190
"X86","X86",92205
"XEN","XEN",7048
"XTENSA","XTENSA",5519
