from,to,lines,size
ARM Machines - ARM ACPI Subsystem,ARM Machines - ARM ACPI Subsystem,741,26230
ARM Machines - ARM ACPI Subsystem,Devices - ACPI,741,26230
ARM Machines - ARM ACPI Subsystem,Guest CPU cores (TCG): - ARM,697,25020
ARM Machines - Allwinner-a10,ARM Machines - Allwinner-a10,862,25734
ARM Machines - Allwinner-a10,Guest CPU cores (TCG): - ARM,210,6715
ARM Machines - Calxeda Highbank,ARM Machines - Calxeda Highbank,848,27964
ARM Machines - Calxeda Highbank,Guest CPU cores (TCG): - ARM,416,13173
ARM Machines - Canon DIGIC,ARM Machines - Canon DIGIC,679,18446
ARM Machines - Canon DIGIC,Guest CPU cores (TCG): - ARM,277,8053
ARM Machines - Exynos,ARM Machines - Exynos,7449,245561
ARM Machines - Exynos,Guest CPU cores (TCG): - ARM,552,19963
ARM Machines - Gumstix,ARM Machines - Gumstix,142,3998
ARM Machines - Gumstix,Guest CPU cores (TCG): - ARM,142,3998
ARM Machines - Integrator CP,ARM Machines - Integrator CP,684,20076
ARM Machines - Integrator CP,Guest CPU cores (TCG): - ARM,684,20076
ARM Machines - Mainstone,ARM Machines - Mainstone,202,6146
ARM Machines - Mainstone,Guest CPU cores (TCG): - ARM,202,6146
ARM Machines - Musicpal,ARM Machines - Musicpal,1752,49056
ARM Machines - Musicpal,Guest CPU cores (TCG): - ARM,1752,49056
ARM Machines - Palm,ARM Machines - Palm,283,9491
ARM Machines - Palm,Guest CPU cores (TCG): - ARM,283,9491
ARM Machines - Real View,ARM Machines - Real View,439,14323
ARM Machines - Real View,Guest CPU cores (TCG): - ARM,439,14323
ARM Machines - Spitz,ARM Machines - Spitz,1149,33884
ARM Machines - Spitz,Guest CPU cores (TCG): - ARM,1149,33884
ARM Machines - Stellaris,ARM Machines - Stellaris,2028,57647
ARM Machines - Stellaris,Guest CPU cores (TCG): - ARM,1438,40853
ARM Machines - Versatile PB,ARM Machines - Versatile PB,1087,33473
ARM Machines - Versatile PB,Guest CPU cores (TCG): - ARM,437,13326
ARM Machines - Xilinx Zynq,ARM Machines - Xilinx Zynq,3776,114694
ARM Machines - Xilinx Zynq,Devices - SSI,771,23871
ARM Machines - Xilinx Zynq,Devices - Xilinx EDK,1043,32772
ARM Machines - Xilinx Zynq,Guest CPU cores (TCG): - ARM,272,8901
ARM Machines - i.MX31,ARM Machines - i.MX31,2324,63537
ARM Machines - i.MX31,Guest CPU cores (TCG): - ARM,153,5653
ARM Machines - nSeries,ARM Machines - nSeries,1436,43635
ARM Machines - nSeries,Guest CPU cores (TCG): - ARM,1436,43635
Block drivers - ARCHIPELAGO,Block drivers - ARCHIPELAGO,1084,31819
Block drivers - ARCHIPELAGO,Subsystems - Block layer core,1084,31819
Block drivers - Bootdevice,Block drivers - Bootdevice,341,9386
Block drivers - CURL,Block drivers - CURL,825,23866
Block drivers - CURL,Subsystems - Block layer core,825,23866
Block drivers - GLUSTER,Block drivers - GLUSTER,833,22907
Block drivers - GLUSTER,Subsystems - Block layer core,833,22907
Block drivers - NFS,Block drivers - NFS,516,14374
Block drivers - NFS,Subsystems - Block layer core,516,14374
Block drivers - Null Block Driver,Block drivers - Null Block Driver,222,6114
Block drivers - Null Block Driver,Subsystems - Block layer core,222,6114
Block drivers - Quorum,Block drivers - Quorum,1065,30861
Block drivers - Quorum,Subsystems - Block layer core,1065,30861
Block drivers - RBD,Block drivers - RBD,967,25689
Block drivers - RBD,Subsystems - Block layer core,967,25689
Block drivers - SSH,Block drivers - SSH,1114,31495
Block drivers - SSH,Subsystems - Block layer core,1114,31495
Block drivers - Sheepdog,Block drivers - Sheepdog,2805,77855
Block drivers - Sheepdog,Subsystems - Block layer core,2805,77855
Block drivers - VDI,Block drivers - VDI,914,30568
Block drivers - VDI,Subsystems - Block layer core,914,30568
Block drivers - VHDX,Block drivers - VHDX,3695,121460
Block drivers - VHDX,Subsystems - Block layer core,3695,121460
Block drivers - VMDK,Block drivers - VMDK,2301,72036
Block drivers - VMDK,Subsystems - Block layer core,2301,72036
Block drivers - blkdebug,Block drivers - blkdebug,805,23226
Block drivers - blkdebug,Subsystems - Block layer core,805,23226
Block drivers - blkverify,Block drivers - blkverify,360,10975
Block drivers - blkverify,Subsystems - Block layer core,360,10975
Block drivers - bochs,Block drivers - bochs,277,8432
Block drivers - bochs,Subsystems - Block layer core,277,8432
Block drivers - cloop,Block drivers - cloop,283,8806
Block drivers - cloop,Subsystems - Block layer core,283,8806
Block drivers - dmg,Block drivers - dmg,725,22341
Block drivers - dmg,Subsystems - Block layer core,725,22341
Block drivers - iSCSI,Block drivers - iSCSI,1815,54766
Block drivers - iSCSI,Subsystems - Block layer core,1815,54766
Block drivers - parallels,Block drivers - parallels,758,21618
Block drivers - parallels,Subsystems - Block layer core,758,21618
Block drivers - qcow,Block drivers - qcow,1036,32614
Block drivers - qcow,Subsystems - Block layer core,1036,32614
Block drivers - qcow2,Block drivers - qcow2,8995,292269
Block drivers - qcow2,Subsystems - Block layer core,8995,292269
Block drivers - qed,Block drivers - qed,1693,50333
Block drivers - qed,Subsystems - Block layer core,1693,50333
Block drivers - raw,Block drivers - raw,4448,123977
Block drivers - raw,Subsystems - Block layer core,4448,123977
Block drivers - vpc,Block drivers - vpc,944,27764
Block drivers - vpc,Subsystems - Block layer core,944,27764
Block drivers - vvfat,Block drivers - vvfat,3042,87575
Block drivers - vvfat,Subsystems - Block layer core,3042,87575
CRIS Machines - Axis Dev88,CRIS Machines - Axis Dev88,2598,71930
CRIS Machines - Axis Dev88,Guest CPU cores (TCG): - CRIS,366,11119
Devices - ACPI,Devices - ACPI,10521,344346
Devices - ACPI,Guest CPU cores (TCG): - ARM,697,25020
Devices - ACPI,Guest CPU cores (TCG): - X86,3154,111736
Devices - ACPI,X86 Machines - PC,4361,149785
Devices - EDU,Devices - EDU,408,10631
Devices - Floppy,Devices - Floppy,2555,77793
Devices - Floppy,Subsystems - Block layer core,2529,77043
Devices - IDE,Devices - IDE,13117,394806
Devices - IDE,Subsystems - Block layer core,411,13002
Devices - LSI53C895A,Devices - LSI53C895A,2163,63283
Devices - LSI53C895A,Devices - SCSI,2163,63283
Devices - OMAP,Devices - OMAP,17198,501191
Devices - OMAP,Devices - SSI,374,10558
Devices - OMAP,Guest CPU cores (TCG): - ARM,7019,215291
Devices - PCI,Devices - PCI,8792,283500
Devices - Rocker,Devices - Rocker,5988,177351
Devices - SCSI,Devices - SCSI,17689,529963
Devices - SCSI,Devices - Vmware,1653,48616
Devices - SCSI,Devices - megasas,3819,120008
Devices - SCSI,Devices - vhost,351,10602
Devices - SCSI,Devices - virtio,1332,41495
Devices - SCSI,PowerPC Machines - sPAPR (pseries),1302,38320
Devices - SSI,Devices - SSI,2752,79632
Devices - SSI,Devices - Xilinx EDK,1161,33749
Devices - SSI,Subsystems - Block layer core,711,21787
Devices - USB,Devices - USB,33600,1040629
Devices - USB,Devices - USB (serial adapter),649,17970
Devices - USB (serial adapter),Devices - USB (serial adapter),649,17970
Devices - VFIO,Devices - VFIO,5545,176252
Devices - Vmware,Devices - Vmware,6178,182560
Devices - Xilinx EDK,Devices - Xilinx EDK,4176,118300
Devices - Xilinx EDK,Guest CPU cores (TCG): - ARM,272,8901
Devices - megasas,Devices - megasas,3819,120008
Devices - nvme,Devices - nvme,1713,49111
Devices - nvme,Subsystems - Block layer core,1679,48398
Devices - ppc4xx,Devices - ppc4xx,4663,131342
Devices - ppc4xx,Guest CPU cores (TCG): - PowerPC,4663,131342
Devices - ppc4xx,PowerPC Machines - 405,679,21302
Devices - ppc4xx,PowerPC Machines - Bamboo,307,9860
Devices - ppce500,Devices - ppce500,1204,39438
Devices - ppce500,Guest CPU cores (TCG): - PowerPC,1204,39438
Devices - ppce500,PowerPC Machines - e500,1187,39101
Devices - vhost,Devices - vhost,2416,71537
Devices - virtio,Devices - virtio,24394,714230
Devices - virtio,Devices - virtio-9p,8582,230850
Devices - virtio,Devices - virtio-blk,1012,31925
Devices - virtio,Devices - virtio-ccw,2164,69022
Devices - virtio,Devices - virtio-input,992,31494
Devices - virtio,Devices - virtio-rng,267,7589
Devices - virtio,Devices - virtio-serial,1351,39016
